,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err,beta_one,beta_one_err
70,HAUSHALT,thirdParty,Domestic,wh,0.067,0.047,0.197,0.051
71,HAUSHALT,thirdParty,Domestic,dropship,0.056,0.047,0.055,0.054
72,HAUSHALT,ownDeveloped,Import,mto,0.182,0.047,0.315,0.054
73,HAUSHALT,ownDeveloped,Import,wh,0.189,0.047,0.317,0.051
74,HAUSHALT,ownDeveloped,Import,dropship,0.178,0.047,0.175,0.054
75,HAUSHALT,ownDeveloped,EE,mto,0.116,0.047,0.248,0.054
76,HAUSHALT,ownDeveloped,EE,wh,0.123,0.047,0.25,0.051
77,HAUSHALT,ownDeveloped,EE,dropship,0.112,0.047,0.108,0.054
78,HAUSHALT,ownDeveloped,Domestic,mto,0.088,0.047,0.226,0.054
79,HAUSHALT,ownDeveloped,Domestic,wh,0.095,0.047,0.228,0.051
80,HAUSHALT,ownDeveloped,Domestic,dropship,0.084,0.047,0.087,0.054
81,HAUSHALT,whiteLabel,Import,mto,0.159,0.047,0.29,0.054
82,HAUSHALT,whiteLabel,Import,wh,0.166,0.047,0.292,0.051
83,HAUSHALT,whiteLabel,Import,dropship,0.155,0.047,0.15,0.054
84,HAUSHALT,whiteLabel,EE,mto,0.094,0.047,0.223,0.054
85,HAUSHALT,whiteLabel,EE,wh,0.1,0.047,0.225,0.051
86,HAUSHALT,whiteLabel,EE,dropship,0.089,0.047,0.083,0.054
87,HAUSHALT,whiteLabel,Domestic,mto,0.066,0.047,0.202,0.054
88,HAUSHALT,whiteLabel,Domestic,wh,0.073,0.047,0.203,0.051
89,HAUSHALT,whiteLabel,Domestic,dropship,0.061,0.047,0.062,0.054
90,ESSZIMMERTISCHE,exclusive,Import,mto,0.433,0.012,0.427,0.044
91,ESSZIMMERTISCHE,exclusive,Import,wh,0.44,0.012,0.439,0.035
92,ESSZIMMERTISCHE,exclusive,Import,dropship,0.428,0.012,0.449,0.03
93,ESSZIMMERTISCHE,exclusive,EE,mto,0.367,0.012,0.36,0.044
94,ESSZIMMERTISCHE,exclusive,EE,wh,0.374,0.012,0.372,0.035
95,ESSZIMMERTISCHE,exclusive,EE,dropship,0.363,0.012,0.382,0.03
96,ESSZIMMERTISCHE,exclusive,Domestic,mto,0.339,0.012,0.338,0.044
97,ESSZIMMERTISCHE,exclusive,Domestic,wh,0.346,0.012,0.35,0.035
98,ESSZIMMERTISCHE,exclusive,Domestic,dropship,0.335,0.012,0.361,0.03
99,ESSZIMMERTISCHE,other,Import,mto,0.418,0.012,0.411,0.044
100,ESSZIMMERTISCHE,other,Import,wh,0.425,0.012,0.422,0.035
101,ESSZIMMERTISCHE,other,Import,dropship,0.413,0.012,0.433,0.03
102,ESSZIMMERTISCHE,other,EE,mto,0.352,0.012,0.344,0.044
103,ESSZIMMERTISCHE,other,EE,wh,0.359,0.012,0.355,0.035
104,ESSZIMMERTISCHE,other,EE,dropship,0.348,0.012,0.366,0.03
105,ESSZIMMERTISCHE,other,Domestic,mto,0.324,0.012,0.322,0.044
106,ESSZIMMERTISCHE,other,Domestic,wh,0.331,0.012,0.334,0.035
107,ESSZIMMERTISCHE,other,Domestic,dropship,0.32,0.012,0.344,0.03
108,ESSZIMMERTISCHE,thirdParty,Import,mto,0.405,0.012,0.396,0.044
109,ESSZIMMERTISCHE,thirdParty,Import,wh,0.412,0.012,0.408,0.035
110,ESSZIMMERTISCHE,thirdParty,Import,dropship,0.401,0.012,0.418,0.03
111,ESSZIMMERTISCHE,thirdParty,EE,mto,0.339,0.012,0.329,0.044
112,ESSZIMMERTISCHE,thirdParty,EE,wh,0.346,0.012,0.341,0.035
113,ESSZIMMERTISCHE,thirdParty,EE,dropship,0.335,0.012,0.351,0.03
114,ESSZIMMERTISCHE,thirdParty,Domestic,mto,0.312,0.012,0.308,0.044
115,ESSZIMMERTISCHE,thirdParty,Domestic,wh,0.318,0.012,0.319,0.035
116,ESSZIMMERTISCHE,thirdParty,Domestic,dropship,0.307,0.012,0.33,0.03
117,ESSZIMMERTISCHE,ownDeveloped,Import,mto,0.434,0.012,0.427,0.044
118,ESSZIMMERTISCHE,ownDeveloped,Import,wh,0.44,0.012,0.439,0.035
119,ESSZIMMERTISCHE,ownDeveloped,Import,dropship,0.429,0.012,0.449,0.03
120,ESSZIMMERTISCHE,ownDeveloped,EE,mto,0.368,0.012,0.36,0.044
121,ESSZIMMERTISCHE,ownDeveloped,EE,wh,0.375,0.012,0.372,0.035
122,ESSZIMMERTISCHE,ownDeveloped,EE,dropship,0.363,0.012,0.382,0.03
123,ESSZIMMERTISCHE,ownDeveloped,Domestic,mto,0.34,0.012,0.339,0.044
124,ESSZIMMERTISCHE,ownDeveloped,Domestic,wh,0.347,0.012,0.35,0.035
125,ESSZIMMERTISCHE,ownDeveloped,Domestic,dropship,0.335,0.012,0.361,0.03
126,ESSZIMMERTISCHE,whiteLabel,Import,mto,0.411,0.012,0.402,0.044
