,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err
420,WOHNEN,other,Domestic,mto,0.348,0.012
421,WOHNEN,other,Domestic,wh,0.355,0.012
422,WOHNEN,other,Domestic,dropship,0.344,0.012
423,WOHNEN,thirdParty,Import,mto,0.429,0.012
424,WOHNEN,thirdParty,Import,wh,0.436,0.012
425,WOHNEN,thirdParty,Import,dropship,0.425,0.012
426,WOHNEN,thirdParty,EE,mto,0.363,0.012
427,WOHNEN,thirdParty,EE,wh,0.37,0.012
428,WOHNEN,thirdParty,EE,dropship,0.359,0.012
429,WOHNEN,thirdParty,Domestic,mto,0.336,0.012
430,WOHNEN,thirdParty,Domestic,wh,0.342,0.012
431,WOHNEN,thirdParty,Domestic,dropship,0.331,0.012
432,WOHNEN,ownDeveloped,Import,mto,0.458,0.012
433,WOHNEN,ownDeveloped,Import,wh,0.464,0.012
434,WOHNEN,ownDeveloped,Import,dropship,0.453,0.012
435,WOHNEN,ownDeveloped,EE,mto,0.392,0.012
436,WOHNEN,ownDeveloped,EE,wh,0.398,0.012
437,WOHNEN,ownDeveloped,EE,dropship,0.387,0.012
438,WOHNEN,ownDeveloped,Domestic,mto,0.364,0.012
439,WOHNEN,ownDeveloped,Domestic,wh,0.371,0.012
440,WOHNEN,ownDeveloped,Domestic,dropship,0.359,0.012
441,WOHNEN,whiteLabel,Import,mto,0.435,0.012
442,WOHNEN,whiteLabel,Import,wh,0.442,0.012
443,WOHNEN,whiteLabel,Import,dropship,0.431,0.012
444,WOHNEN,whiteLabel,EE,mto,0.369,0.012
445,WOHNEN,whiteLabel,EE,wh,0.376,0.012
446,WOHNEN,whiteLabel,EE,dropship,0.365,0.012
447,WOHNEN,whiteLabel,Domestic,mto,0.341,0.012
448,WOHNEN,whiteLabel,Domestic,wh,0.348,0.012
449,WOHNEN,whiteLabel,Domestic,dropship,0.337,0.012
450,GARTEN,exclusive,Import,mto,0.324,0.012
451,GARTEN,exclusive,Import,wh,0.33,0.012
452,GARTEN,exclusive,Import,dropship,0.319,0.012
453,GARTEN,exclusive,EE,mto,0.258,0.012
454,GARTEN,exclusive,EE,wh,0.264,0.012
455,GARTEN,exclusive,EE,dropship,0.253,0.012
456,GARTEN,exclusive,Domestic,mto,0.23,0.012
457,GARTEN,exclusive,Domestic,wh,0.237,0.012
458,GARTEN,exclusive,Domestic,dropship,0.225,0.012
459,GARTEN,other,Import,mto,0.308,0.013
460,GARTEN,other,Import,wh,0.315,0.013
461,GARTEN,other,Import,dropship,0.304,0.013
462,GARTEN,other,EE,mto,0.243,0.013
463,GARTEN,other,EE,wh,0.249,0.013
464,GARTEN,other,EE,dropship,0.238,0.013
465,GARTEN,other,Domestic,mto,0.215,0.013
466,GARTEN,other,Domestic,wh,0.222,0.012
467,GARTEN,other,Domestic,dropship,0.21,0.013
468,GARTEN,thirdParty,Import,mto,0.296,0.013
469,GARTEN,thirdParty,Import,wh,0.303,0.012
470,GARTEN,thirdParty,Import,dropship,0.292,0.013
471,GARTEN,thirdParty,EE,mto,0.23,0.013
472,GARTEN,thirdParty,EE,wh,0.237,0.013
473,GARTEN,thirdParty,EE,dropship,0.226,0.013
474,GARTEN,thirdParty,Domestic,mto,0.202,0.012
475,GARTEN,thirdParty,Domestic,wh,0.209,0.012
476,GARTEN,thirdParty,Domestic,dropship,0.198,0.012
477,GARTEN,ownDeveloped,Import,mto,0.324,0.013
478,GARTEN,ownDeveloped,Import,wh,0.331,0.013
479,GARTEN,ownDeveloped,Import,dropship,0.32,0.013
480,GARTEN,ownDeveloped,EE,mto,0.258,0.013
481,GARTEN,ownDeveloped,EE,wh,0.265,0.013
482,GARTEN,ownDeveloped,EE,dropship,0.254,0.013
483,GARTEN,ownDeveloped,Domestic,mto,0.23,0.013
484,GARTEN,ownDeveloped,Domestic,wh,0.237,0.012
485,GARTEN,ownDeveloped,Domestic,dropship,0.226,0.013
486,GARTEN,whiteLabel,Import,mto,0.302,0.012
487,GARTEN,whiteLabel,Import,wh,0.309,0.012
488,GARTEN,whiteLabel,Import,dropship,0.298,0.012
489,GARTEN,whiteLabel,EE,mto,0.236,0.013
490,GARTEN,whiteLabel,EE,wh,0.243,0.012
491,GARTEN,whiteLabel,EE,dropship,0.232,0.013
492,GARTEN,whiteLabel,Domestic,mto,0.208,0.012
493,GARTEN,whiteLabel,Domestic,wh,0.215,0.012
494,GARTEN,whiteLabel,Domestic,dropship,0.204,0.012
495,KÜCHE,exclusive,Import,mto,0.459,0.018
496,KÜCHE,exclusive,Import,wh,0.466,0.017
497,KÜCHE,exclusive,Import,dropship,0.455,0.018
498,KÜCHE,exclusive,EE,mto,0.393,0.018
499,KÜCHE,exclusive,EE,wh,0.4,0.018
500,KÜCHE,exclusive,EE,dropship,0.389,0.018
501,KÜCHE,exclusive,Domestic,mto,0.366,0.017
502,KÜCHE,exclusive,Domestic,wh,0.372,0.017
503,KÜCHE,exclusive,Domestic,dropship,0.361,0.017
504,KÜCHE,other,Import,mto,0.444,0.018
505,KÜCHE,other,Import,wh,0.451,0.018
506,KÜCHE,other,Import,dropship,0.44,0.018
507,KÜCHE,other,EE,mto,0.378,0.018
508,KÜCHE,other,EE,wh,0.385,0.018
509,KÜCHE,other,EE,dropship,0.374,0.018
510,KÜCHE,other,Domestic,mto,0.351,0.018
511,KÜCHE,other,Domestic,wh,0.357,0.018
512,KÜCHE,other,Domestic,dropship,0.346,0.018
513,KÜCHE,thirdParty,Import,mto,0.432,0.018
514,KÜCHE,thirdParty,Import,wh,0.439,0.018
515,KÜCHE,thirdParty,Import,dropship,0.428,0.018
516,KÜCHE,thirdParty,EE,mto,0.366,0.018
517,KÜCHE,thirdParty,EE,wh,0.373,0.018
518,KÜCHE,thirdParty,EE,dropship,0.362,0.018
519,KÜCHE,thirdParty,Domestic,mto,0.338,0.018
520,KÜCHE,thirdParty,Domestic,wh,0.345,0.018
521,KÜCHE,thirdParty,Domestic,dropship,0.334,0.018
522,KÜCHE,ownDeveloped,Import,mto,0.46,0.018
523,KÜCHE,ownDeveloped,Import,wh,0.467,0.018
524,KÜCHE,ownDeveloped,Import,dropship,0.456,0.018
525,KÜCHE,ownDeveloped,EE,mto,0.394,0.018
526,KÜCHE,ownDeveloped,EE,wh,0.401,0.018
527,KÜCHE,ownDeveloped,EE,dropship,0.39,0.018
528,KÜCHE,ownDeveloped,Domestic,mto,0.366,0.018
529,KÜCHE,ownDeveloped,Domestic,wh,0.373,0.018
530,KÜCHE,ownDeveloped,Domestic,dropship,0.362,0.018
531,KÜCHE,whiteLabel,Import,mto,0.438,0.018
532,KÜCHE,whiteLabel,Import,wh,0.445,0.018
533,KÜCHE,whiteLabel,Import,dropship,0.433,0.018
534,KÜCHE,whiteLabel,EE,mto,0.372,0.018
535,KÜCHE,whiteLabel,EE,wh,0.379,0.018
536,KÜCHE,whiteLabel,EE,dropship,0.368,0.018
537,KÜCHE,whiteLabel,Domestic,mto,0.344,0.018
538,KÜCHE,whiteLabel,Domestic,wh,0.351,0.017
539,KÜCHE,whiteLabel,Domestic,dropship,0.34,0.018
540,BOUTIQUE,exclusive,Import,mto,0.338,0.012
541,BOUTIQUE,exclusive,Import,wh,0.345,0.012
542,BOUTIQUE,exclusive,Import,dropship,0.334,0.012
543,BOUTIQUE,exclusive,EE,mto,0.272,0.012
544,BOUTIQUE,exclusive,EE,wh,0.279,0.012
545,BOUTIQUE,exclusive,EE,dropship,0.268,0.012
546,BOUTIQUE,exclusive,Domestic,mto,0.245,0.012
547,BOUTIQUE,exclusive,Domestic,wh,0.251,0.012
548,BOUTIQUE,exclusive,Domestic,dropship,0.24,0.012
549,BOUTIQUE,other,Import,mto,0.323,0.012
550,BOUTIQUE,other,Import,wh,0.33,0.012
551,BOUTIQUE,other,Import,dropship,0.319,0.012
552,BOUTIQUE,other,EE,mto,0.257,0.013
553,BOUTIQUE,other,EE,wh,0.264,0.012
554,BOUTIQUE,other,EE,dropship,0.253,0.013
555,BOUTIQUE,other,Domestic,mto,0.229,0.012
556,BOUTIQUE,other,Domestic,wh,0.236,0.012
557,BOUTIQUE,other,Domestic,dropship,0.225,0.012
558,BOUTIQUE,thirdParty,Import,mto,0.311,0.012
559,BOUTIQUE,thirdParty,Import,wh,0.318,0.012
560,BOUTIQUE,thirdParty,Import,dropship,0.307,0.012
561,BOUTIQUE,thirdParty,EE,mto,0.245,0.012
562,BOUTIQUE,thirdParty,EE,wh,0.252,0.012
563,BOUTIQUE,thirdParty,EE,dropship,0.241,0.012
564,BOUTIQUE,thirdParty,Domestic,mto,0.217,0.012
565,BOUTIQUE,thirdParty,Domestic,wh,0.224,0.012
566,BOUTIQUE,thirdParty,Domestic,dropship,0.213,0.012
567,BOUTIQUE,ownDeveloped,Import,mto,0.339,0.012
568,BOUTIQUE,ownDeveloped,Import,wh,0.346,0.012
569,BOUTIQUE,ownDeveloped,Import,dropship,0.335,0.012
570,BOUTIQUE,ownDeveloped,EE,mto,0.273,0.013
571,BOUTIQUE,ownDeveloped,EE,wh,0.28,0.012
572,BOUTIQUE,ownDeveloped,EE,dropship,0.269,0.013
573,BOUTIQUE,ownDeveloped,Domestic,mto,0.245,0.012
574,BOUTIQUE,ownDeveloped,Domestic,wh,0.252,0.012
575,BOUTIQUE,ownDeveloped,Domestic,dropship,0.241,0.012
576,BOUTIQUE,whiteLabel,Import,mto,0.317,0.012
577,BOUTIQUE,whiteLabel,Import,wh,0.324,0.012
578,BOUTIQUE,whiteLabel,Import,dropship,0.312,0.012
579,BOUTIQUE,whiteLabel,EE,mto,0.251,0.012
580,BOUTIQUE,whiteLabel,EE,wh,0.258,0.012
581,BOUTIQUE,whiteLabel,EE,dropship,0.246,0.012
582,BOUTIQUE,whiteLabel,Domestic,mto,0.223,0.012
583,BOUTIQUE,whiteLabel,Domestic,wh,0.23,0.012
584,BOUTIQUE,whiteLabel,Domestic,dropship,0.219,0.012
585,BABY,exclusive,Import,mto,0.298,0.009
586,BABY,exclusive,Import,wh,0.305,0.008
587,BABY,exclusive,Import,dropship,0.294,0.009
588,BABY,exclusive,EE,mto,0.232,0.009
589,BABY,exclusive,EE,wh,0.239,0.009
590,BABY,exclusive,EE,dropship,0.228,0.009
591,BABY,exclusive,Domestic,mto,0.204,0.008
592,BABY,exclusive,Domestic,wh,0.211,0.008
593,BABY,exclusive,Domestic,dropship,0.2,0.008
594,BABY,other,Import,mto,0.283,0.009
595,BABY,other,Import,wh,0.29,0.009
596,BABY,other,Import,dropship,0.279,0.009
597,BABY,other,EE,mto,0.217,0.009
598,BABY,other,EE,wh,0.224,0.009
599,BABY,other,EE,dropship,0.213,0.009
600,BABY,other,Domestic,mto,0.189,0.009
601,BABY,other,Domestic,wh,0.196,0.009
602,BABY,other,Domestic,dropship,0.185,0.009
603,BABY,thirdParty,Import,mto,0.271,0.009
604,BABY,thirdParty,Import,wh,0.278,0.009
605,BABY,thirdParty,Import,dropship,0.266,0.009
606,BABY,thirdParty,EE,mto,0.205,0.009
607,BABY,thirdParty,EE,wh,0.212,0.009
608,BABY,thirdParty,EE,dropship,0.2,0.009
609,BABY,thirdParty,Domestic,mto,0.177,0.009
610,BABY,thirdParty,Domestic,wh,0.184,0.009
611,BABY,thirdParty,Domestic,dropship,0.173,0.009
612,BABY,ownDeveloped,Import,mto,0.299,0.009
613,BABY,ownDeveloped,Import,wh,0.306,0.009
614,BABY,ownDeveloped,Import,dropship,0.294,0.009
615,BABY,ownDeveloped,EE,mto,0.233,0.009
616,BABY,ownDeveloped,EE,wh,0.24,0.009
617,BABY,ownDeveloped,EE,dropship,0.229,0.009
618,BABY,ownDeveloped,Domestic,mto,0.205,0.009
619,BABY,ownDeveloped,Domestic,wh,0.212,0.009
620,BABY,ownDeveloped,Domestic,dropship,0.201,0.009
621,BABY,whiteLabel,Import,mto,0.276,0.009
622,BABY,whiteLabel,Import,wh,0.283,0.009
623,BABY,whiteLabel,Import,dropship,0.272,0.009
624,BABY,whiteLabel,EE,mto,0.21,0.009
625,BABY,whiteLabel,EE,wh,0.217,0.009
626,BABY,whiteLabel,EE,dropship,0.206,0.009
627,BABY,whiteLabel,Domestic,mto,0.183,0.009
628,BABY,whiteLabel,Domestic,wh,0.189,0.008
629,BABY,whiteLabel,Domestic,dropship,0.178,0.009
630,HEIMTEXTILIEN,exclusive,Import,mto,0.362,0.012
631,HEIMTEXTILIEN,exclusive,Import,wh,0.369,0.012
632,HEIMTEXTILIEN,exclusive,Import,dropship,0.358,0.012
633,HEIMTEXTILIEN,exclusive,EE,mto,0.296,0.012
634,HEIMTEXTILIEN,exclusive,EE,wh,0.303,0.012
635,HEIMTEXTILIEN,exclusive,EE,dropship,0.292,0.012
636,HEIMTEXTILIEN,exclusive,Domestic,mto,0.268,0.012
637,HEIMTEXTILIEN,exclusive,Domestic,wh,0.275,0.012
638,HEIMTEXTILIEN,exclusive,Domestic,dropship,0.264,0.012
639,HEIMTEXTILIEN,other,Import,mto,0.347,0.012
640,HEIMTEXTILIEN,other,Import,wh,0.354,0.012
641,HEIMTEXTILIEN,other,Import,dropship,0.343,0.012
642,HEIMTEXTILIEN,other,EE,mto,0.281,0.012
643,HEIMTEXTILIEN,other,EE,wh,0.288,0.012
644,HEIMTEXTILIEN,other,EE,dropship,0.277,0.013
645,HEIMTEXTILIEN,other,Domestic,mto,0.253,0.012
646,HEIMTEXTILIEN,other,Domestic,wh,0.26,0.012
647,HEIMTEXTILIEN,other,Domestic,dropship,0.249,0.012
648,HEIMTEXTILIEN,thirdParty,Import,mto,0.334,0.012
649,HEIMTEXTILIEN,thirdParty,Import,wh,0.341,0.012
650,HEIMTEXTILIEN,thirdParty,Import,dropship,0.33,0.012
651,HEIMTEXTILIEN,thirdParty,EE,mto,0.269,0.012
652,HEIMTEXTILIEN,thirdParty,EE,wh,0.275,0.012
653,HEIMTEXTILIEN,thirdParty,EE,dropship,0.264,0.012
654,HEIMTEXTILIEN,thirdParty,Domestic,mto,0.241,0.012
655,HEIMTEXTILIEN,thirdParty,Domestic,wh,0.248,0.012
656,HEIMTEXTILIEN,thirdParty,Domestic,dropship,0.236,0.012
657,HEIMTEXTILIEN,ownDeveloped,Import,mto,0.363,0.012
658,HEIMTEXTILIEN,ownDeveloped,Import,wh,0.369,0.012
659,HEIMTEXTILIEN,ownDeveloped,Import,dropship,0.358,0.012
660,HEIMTEXTILIEN,ownDeveloped,EE,mto,0.297,0.012
661,HEIMTEXTILIEN,ownDeveloped,EE,wh,0.304,0.012
662,HEIMTEXTILIEN,ownDeveloped,EE,dropship,0.292,0.012
663,HEIMTEXTILIEN,ownDeveloped,Domestic,mto,0.269,0.012
664,HEIMTEXTILIEN,ownDeveloped,Domestic,wh,0.276,0.012
665,HEIMTEXTILIEN,ownDeveloped,Domestic,dropship,0.264,0.012
666,HEIMTEXTILIEN,whiteLabel,Import,mto,0.34,0.012
667,HEIMTEXTILIEN,whiteLabel,Import,wh,0.347,0.012
668,HEIMTEXTILIEN,whiteLabel,Import,dropship,0.336,0.012
669,HEIMTEXTILIEN,whiteLabel,EE,mto,0.274,0.012
670,HEIMTEXTILIEN,whiteLabel,EE,wh,0.281,0.012
671,HEIMTEXTILIEN,whiteLabel,EE,dropship,0.27,0.012
672,HEIMTEXTILIEN,whiteLabel,Domestic,mto,0.246,0.012
673,HEIMTEXTILIEN,whiteLabel,Domestic,wh,0.253,0.012
674,HEIMTEXTILIEN,whiteLabel,Domestic,dropship,0.242,0.012
675,MATRATZEN&LATTENROSTE,exclusive,Import,mto,0.428,0.012
676,MATRATZEN&LATTENROSTE,exclusive,Import,wh,0.435,0.012
677,MATRATZEN&LATTENROSTE,exclusive,Import,dropship,0.424,0.012
678,MATRATZEN&LATTENROSTE,exclusive,EE,mto,0.362,0.012
679,MATRATZEN&LATTENROSTE,exclusive,EE,wh,0.369,0.012
680,MATRATZEN&LATTENROSTE,exclusive,EE,dropship,0.358,0.012
681,MATRATZEN&LATTENROSTE,exclusive,Domestic,mto,0.334,0.012
682,MATRATZEN&LATTENROSTE,exclusive,Domestic,wh,0.341,0.012
683,MATRATZEN&LATTENROSTE,exclusive,Domestic,dropship,0.33,0.012
684,MATRATZEN&LATTENROSTE,other,Import,mto,0.413,0.012
685,MATRATZEN&LATTENROSTE,other,Import,wh,0.42,0.012
686,MATRATZEN&LATTENROSTE,other,Import,dropship,0.409,0.012
687,MATRATZEN&LATTENROSTE,other,EE,mto,0.347,0.012
688,MATRATZEN&LATTENROSTE,other,EE,wh,0.354,0.012
689,MATRATZEN&LATTENROSTE,other,EE,dropship,0.343,0.012
690,MATRATZEN&LATTENROSTE,other,Domestic,mto,0.319,0.012
691,MATRATZEN&LATTENROSTE,other,Domestic,wh,0.326,0.012
692,MATRATZEN&LATTENROSTE,other,Domestic,dropship,0.315,0.012
693,MATRATZEN&LATTENROSTE,thirdParty,Import,mto,0.4,0.012
694,MATRATZEN&LATTENROSTE,thirdParty,Import,wh,0.407,0.012
695,MATRATZEN&LATTENROSTE,thirdParty,Import,dropship,0.396,0.012
696,MATRATZEN&LATTENROSTE,thirdParty,EE,mto,0.335,0.012
697,MATRATZEN&LATTENROSTE,thirdParty,EE,wh,0.341,0.012
698,MATRATZEN&LATTENROSTE,thirdParty,EE,dropship,0.33,0.012
699,MATRATZEN&LATTENROSTE,thirdParty,Domestic,mto,0.307,0.012
700,MATRATZEN&LATTENROSTE,thirdParty,Domestic,wh,0.314,0.012
701,MATRATZEN&LATTENROSTE,thirdParty,Domestic,dropship,0.302,0.012
702,MATRATZEN&LATTENROSTE,ownDeveloped,Import,mto,0.429,0.012
703,MATRATZEN&LATTENROSTE,ownDeveloped,Import,wh,0.435,0.012
704,MATRATZEN&LATTENROSTE,ownDeveloped,Import,dropship,0.424,0.012
705,MATRATZEN&LATTENROSTE,ownDeveloped,EE,mto,0.363,0.012
706,MATRATZEN&LATTENROSTE,ownDeveloped,EE,wh,0.37,0.012
707,MATRATZEN&LATTENROSTE,ownDeveloped,EE,dropship,0.358,0.012
708,MATRATZEN&LATTENROSTE,ownDeveloped,Domestic,mto,0.335,0.012
709,MATRATZEN&LATTENROSTE,ownDeveloped,Domestic,wh,0.342,0.012
710,MATRATZEN&LATTENROSTE,ownDeveloped,Domestic,dropship,0.33,0.012
711,MATRATZEN&LATTENROSTE,whiteLabel,Import,mto,0.406,0.012
712,MATRATZEN&LATTENROSTE,whiteLabel,Import,wh,0.413,0.012
713,MATRATZEN&LATTENROSTE,whiteLabel,Import,dropship,0.402,0.012
714,MATRATZEN&LATTENROSTE,whiteLabel,EE,mto,0.34,0.012
715,MATRATZEN&LATTENROSTE,whiteLabel,EE,wh,0.347,0.012
716,MATRATZEN&LATTENROSTE,whiteLabel,EE,dropship,0.336,0.012
717,MATRATZEN&LATTENROSTE,whiteLabel,Domestic,mto,0.312,0.012
718,MATRATZEN&LATTENROSTE,whiteLabel,Domestic,wh,0.319,0.012
719,MATRATZEN&LATTENROSTE,whiteLabel,Domestic,dropship,0.308,0.012
720,BETTEN,exclusive,Import,mto,0.368,0.012
721,BETTEN,exclusive,Import,wh,0.375,0.012
722,BETTEN,exclusive,Import,dropship,0.364,0.012
723,BETTEN,exclusive,EE,mto,0.302,0.012
724,BETTEN,exclusive,EE,wh,0.309,0.012
725,BETTEN,exclusive,EE,dropship,0.298,0.012
726,BETTEN,exclusive,Domestic,mto,0.274,0.012
727,BETTEN,exclusive,Domestic,wh,0.281,0.012
728,BETTEN,exclusive,Domestic,dropship,0.27,0.012
729,BETTEN,other,Import,mto,0.353,0.012
730,BETTEN,other,Import,wh,0.36,0.012
731,BETTEN,other,Import,dropship,0.349,0.012
732,BETTEN,other,EE,mto,0.287,0.012
733,BETTEN,other,EE,wh,0.294,0.012
734,BETTEN,other,EE,dropship,0.283,0.012
735,BETTEN,other,Domestic,mto,0.259,0.012
736,BETTEN,other,Domestic,wh,0.266,0.012
737,BETTEN,other,Domestic,dropship,0.255,0.012
738,BETTEN,thirdParty,Import,mto,0.341,0.012
739,BETTEN,thirdParty,Import,wh,0.348,0.012
740,BETTEN,thirdParty,Import,dropship,0.336,0.012
741,BETTEN,thirdParty,EE,mto,0.275,0.012
742,BETTEN,thirdParty,EE,wh,0.282,0.012
743,BETTEN,thirdParty,EE,dropship,0.27,0.012
744,BETTEN,thirdParty,Domestic,mto,0.247,0.012
745,BETTEN,thirdParty,Domestic,wh,0.254,0.012
746,BETTEN,thirdParty,Domestic,dropship,0.243,0.012
747,BETTEN,ownDeveloped,Import,mto,0.369,0.012
748,BETTEN,ownDeveloped,Import,wh,0.376,0.012
749,BETTEN,ownDeveloped,Import,dropship,0.364,0.012
750,BETTEN,ownDeveloped,EE,mto,0.303,0.012
751,BETTEN,ownDeveloped,EE,wh,0.31,0.012
752,BETTEN,ownDeveloped,EE,dropship,0.299,0.012
753,BETTEN,ownDeveloped,Domestic,mto,0.275,0.012
754,BETTEN,ownDeveloped,Domestic,wh,0.282,0.012
755,BETTEN,ownDeveloped,Domestic,dropship,0.271,0.012
756,BETTEN,whiteLabel,Import,mto,0.346,0.012
757,BETTEN,whiteLabel,Import,wh,0.353,0.012
758,BETTEN,whiteLabel,Import,dropship,0.342,0.012
759,BETTEN,whiteLabel,EE,mto,0.28,0.012
760,BETTEN,whiteLabel,EE,wh,0.287,0.012
761,BETTEN,whiteLabel,EE,dropship,0.276,0.012
762,BETTEN,whiteLabel,Domestic,mto,0.253,0.012
763,BETTEN,whiteLabel,Domestic,wh,0.259,0.012
764,BETTEN,whiteLabel,Domestic,dropship,0.248,0.012
765,BAD,exclusive,Import,mto,0.458,0.012
766,BAD,exclusive,Import,wh,0.465,0.012
767,BAD,exclusive,Import,dropship,0.454,0.012
768,BAD,exclusive,EE,mto,0.392,0.012
769,BAD,exclusive,EE,wh,0.399,0.012
770,BAD,exclusive,EE,dropship,0.388,0.012
771,BAD,exclusive,Domestic,mto,0.364,0.012
772,BAD,exclusive,Domestic,wh,0.371,0.012
773,BAD,exclusive,Domestic,dropship,0.36,0.012
774,BAD,other,Import,mto,0.443,0.012
775,BAD,other,Import,wh,0.45,0.012
776,BAD,other,Import,dropship,0.439,0.012
777,BAD,other,EE,mto,0.377,0.012
778,BAD,other,EE,wh,0.384,0.012
779,BAD,other,EE,dropship,0.373,0.012
780,BAD,other,Domestic,mto,0.349,0.012
781,BAD,other,Domestic,wh,0.356,0.012
782,BAD,other,Domestic,dropship,0.345,0.012
783,BAD,thirdParty,Import,mto,0.431,0.012
784,BAD,thirdParty,Import,wh,0.438,0.012
785,BAD,thirdParty,Import,dropship,0.426,0.012
786,BAD,thirdParty,EE,mto,0.365,0.012
787,BAD,thirdParty,EE,wh,0.372,0.012
788,BAD,thirdParty,EE,dropship,0.36,0.012
789,BAD,thirdParty,Domestic,mto,0.337,0.012
790,BAD,thirdParty,Domestic,wh,0.344,0.012
791,BAD,thirdParty,Domestic,dropship,0.333,0.012
792,BAD,ownDeveloped,Import,mto,0.459,0.012
793,BAD,ownDeveloped,Import,wh,0.466,0.012
794,BAD,ownDeveloped,Import,dropship,0.454,0.012
795,BAD,ownDeveloped,EE,mto,0.393,0.012
796,BAD,ownDeveloped,EE,wh,0.4,0.012
797,BAD,ownDeveloped,EE,dropship,0.389,0.012
798,BAD,ownDeveloped,Domestic,mto,0.365,0.012
799,BAD,ownDeveloped,Domestic,wh,0.372,0.012
800,BAD,ownDeveloped,Domestic,dropship,0.361,0.012
801,BAD,whiteLabel,Import,mto,0.436,0.012
802,BAD,whiteLabel,Import,wh,0.443,0.012
803,BAD,whiteLabel,Import,dropship,0.432,0.012
804,BAD,whiteLabel,EE,mto,0.37,0.012
805,BAD,whiteLabel,EE,wh,0.377,0.012
806,BAD,whiteLabel,EE,dropship,0.366,0.012
807,BAD,whiteLabel,Domestic,mto,0.343,0.012
808,BAD,whiteLabel,Domestic,wh,0.349,0.012
809,BAD,whiteLabel,Domestic,dropship,0.338,0.012
810,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Import,mto,0.453,0.012
811,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Import,wh,0.46,0.012
812,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Import,dropship,0.449,0.012
813,ESSZIMMERSTÜHLE&BÄNKE,exclusive,EE,mto,0.387,0.012
814,ESSZIMMERSTÜHLE&BÄNKE,exclusive,EE,wh,0.394,0.012
815,ESSZIMMERSTÜHLE&BÄNKE,exclusive,EE,dropship,0.383,0.012
816,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Domestic,mto,0.359,0.012
817,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Domestic,wh,0.366,0.012
818,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Domestic,dropship,0.355,0.012
819,ESSZIMMERSTÜHLE&BÄNKE,other,Import,mto,0.438,0.012
820,ESSZIMMERSTÜHLE&BÄNKE,other,Import,wh,0.445,0.012
821,ESSZIMMERSTÜHLE&BÄNKE,other,Import,dropship,0.434,0.012
822,ESSZIMMERSTÜHLE&BÄNKE,other,EE,mto,0.372,0.012
823,ESSZIMMERSTÜHLE&BÄNKE,other,EE,wh,0.379,0.012
824,ESSZIMMERSTÜHLE&BÄNKE,other,EE,dropship,0.368,0.012
825,ESSZIMMERSTÜHLE&BÄNKE,other,Domestic,mto,0.344,0.012
826,ESSZIMMERSTÜHLE&BÄNKE,other,Domestic,wh,0.351,0.012
827,ESSZIMMERSTÜHLE&BÄNKE,other,Domestic,dropship,0.34,0.012
828,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Import,mto,0.426,0.012
829,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Import,wh,0.433,0.012
830,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Import,dropship,0.421,0.012
831,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,EE,mto,0.36,0.012
832,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,EE,wh,0.367,0.012
833,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,EE,dropship,0.355,0.012
834,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Domestic,mto,0.332,0.012
835,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Domestic,wh,0.339,0.012
836,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Domestic,dropship,0.328,0.012
837,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Import,mto,0.454,0.012
838,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Import,wh,0.461,0.012
839,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Import,dropship,0.449,0.012
840,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,EE,mto,0.388,0.012
841,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,EE,wh,0.395,0.012
842,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,EE,dropship,0.384,0.012
843,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Domestic,mto,0.36,0.012
844,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Domestic,wh,0.367,0.012
845,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Domestic,dropship,0.356,0.012
846,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Import,mto,0.431,0.012
847,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Import,wh,0.438,0.012
848,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Import,dropship,0.427,0.012
849,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,EE,mto,0.365,0.012
850,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,EE,wh,0.372,0.012
851,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,EE,dropship,0.361,0.012
