,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err
88,HAUSHALT,whiteLabel,Domestic,wh,0.073,0.047
89,HAUSHALT,whiteLabel,Domestic,dropship,0.061,0.047
90,ESSZIMMERTISCHE,exclusive,Import,mto,0.433,0.012
91,ESSZIMMERTISCHE,exclusive,Import,wh,0.44,0.012
92,ESSZIMMERTISCHE,exclusive,Import,dropship,0.428,0.012
93,ESSZIMMERTISCHE,exclusive,EE,mto,0.367,0.012
94,ESSZIMMERTISCHE,exclusive,EE,wh,0.374,0.012
95,ESSZIMMERTISCHE,exclusive,EE,dropship,0.363,0.012
96,ESSZIMMERTISCHE,exclusive,Domestic,mto,0.339,0.012
97,ESSZIMMERTISCHE,exclusive,Domestic,wh,0.346,0.012
98,ESSZIMMERTISCHE,exclusive,Domestic,dropship,0.335,0.012
99,ESSZIMMERTISCHE,other,Import,mto,0.418,0.012
100,ESSZIMMERTISCHE,other,Import,wh,0.425,0.012
101,ESSZIMMERTISCHE,other,Import,dropship,0.413,0.012
102,ESSZIMMERTISCHE,other,EE,mto,0.352,0.012
103,ESSZIMMERTISCHE,other,EE,wh,0.359,0.012
104,ESSZIMMERTISCHE,other,EE,dropship,0.348,0.012
105,ESSZIMMERTISCHE,other,Domestic,mto,0.324,0.012
106,ESSZIMMERTISCHE,other,Domestic,wh,0.331,0.012
107,ESSZIMMERTISCHE,other,Domestic,dropship,0.32,0.012
108,ESSZIMMERTISCHE,thirdParty,Import,mto,0.405,0.012
109,ESSZIMMERTISCHE,thirdParty,Import,wh,0.412,0.012
110,ESSZIMMERTISCHE,thirdParty,Import,dropship,0.401,0.012
111,ESSZIMMERTISCHE,thirdParty,EE,mto,0.339,0.012
112,ESSZIMMERTISCHE,thirdParty,EE,wh,0.346,0.012
113,ESSZIMMERTISCHE,thirdParty,EE,dropship,0.335,0.012
114,ESSZIMMERTISCHE,thirdParty,Domestic,mto,0.312,0.012
115,ESSZIMMERTISCHE,thirdParty,Domestic,wh,0.318,0.012
116,ESSZIMMERTISCHE,thirdParty,Domestic,dropship,0.307,0.012
117,ESSZIMMERTISCHE,ownDeveloped,Import,mto,0.434,0.012
118,ESSZIMMERTISCHE,ownDeveloped,Import,wh,0.44,0.012
119,ESSZIMMERTISCHE,ownDeveloped,Import,dropship,0.429,0.012
120,ESSZIMMERTISCHE,ownDeveloped,EE,mto,0.368,0.012
121,ESSZIMMERTISCHE,ownDeveloped,EE,wh,0.375,0.012
122,ESSZIMMERTISCHE,ownDeveloped,EE,dropship,0.363,0.012
123,ESSZIMMERTISCHE,ownDeveloped,Domestic,mto,0.34,0.012
124,ESSZIMMERTISCHE,ownDeveloped,Domestic,wh,0.347,0.012
125,ESSZIMMERTISCHE,ownDeveloped,Domestic,dropship,0.335,0.012
126,ESSZIMMERTISCHE,whiteLabel,Import,mto,0.411,0.012
127,ESSZIMMERTISCHE,whiteLabel,Import,wh,0.418,0.012
128,ESSZIMMERTISCHE,whiteLabel,Import,dropship,0.407,0.012
129,ESSZIMMERTISCHE,whiteLabel,EE,mto,0.345,0.012
130,ESSZIMMERTISCHE,whiteLabel,EE,wh,0.352,0.012
131,ESSZIMMERTISCHE,whiteLabel,EE,dropship,0.341,0.012
132,ESSZIMMERTISCHE,whiteLabel,Domestic,mto,0.317,0.012
133,ESSZIMMERTISCHE,whiteLabel,Domestic,wh,0.324,0.012
134,ESSZIMMERTISCHE,whiteLabel,Domestic,dropship,0.313,0.012
135,LEUCHTEN,exclusive,Import,mto,0.399,0.012
136,LEUCHTEN,exclusive,Import,wh,0.406,0.012
137,LEUCHTEN,exclusive,Import,dropship,0.395,0.012
138,LEUCHTEN,exclusive,EE,mto,0.334,0.012
139,LEUCHTEN,exclusive,EE,wh,0.34,0.012
140,LEUCHTEN,exclusive,EE,dropship,0.329,0.012
141,LEUCHTEN,exclusive,Domestic,mto,0.306,0.012
142,LEUCHTEN,exclusive,Domestic,wh,0.313,0.012
143,LEUCHTEN,exclusive,Domestic,dropship,0.301,0.012
144,LEUCHTEN,other,Import,mto,0.384,0.012
145,LEUCHTEN,other,Import,wh,0.391,0.012
146,LEUCHTEN,other,Import,dropship,0.38,0.012
147,LEUCHTEN,other,EE,mto,0.318,0.012
148,LEUCHTEN,other,EE,wh,0.325,0.012
149,LEUCHTEN,other,EE,dropship,0.314,0.012
150,LEUCHTEN,other,Domestic,mto,0.291,0.012
151,LEUCHTEN,other,Domestic,wh,0.297,0.012
152,LEUCHTEN,other,Domestic,dropship,0.286,0.012
153,LEUCHTEN,thirdParty,Import,mto,0.372,0.012
154,LEUCHTEN,thirdParty,Import,wh,0.379,0.012
155,LEUCHTEN,thirdParty,Import,dropship,0.368,0.012
156,LEUCHTEN,thirdParty,EE,mto,0.306,0.012
157,LEUCHTEN,thirdParty,EE,wh,0.313,0.012
158,LEUCHTEN,thirdParty,EE,dropship,0.302,0.012
159,LEUCHTEN,thirdParty,Domestic,mto,0.278,0.012
160,LEUCHTEN,thirdParty,Domestic,wh,0.285,0.012
161,LEUCHTEN,thirdParty,Domestic,dropship,0.274,0.012
162,LEUCHTEN,ownDeveloped,Import,mto,0.4,0.012
163,LEUCHTEN,ownDeveloped,Import,wh,0.407,0.012
164,LEUCHTEN,ownDeveloped,Import,dropship,0.396,0.012
165,LEUCHTEN,ownDeveloped,EE,mto,0.334,0.012
166,LEUCHTEN,ownDeveloped,EE,wh,0.341,0.012
167,LEUCHTEN,ownDeveloped,EE,dropship,0.33,0.012
168,LEUCHTEN,ownDeveloped,Domestic,mto,0.306,0.012
169,LEUCHTEN,ownDeveloped,Domestic,wh,0.313,0.012
170,LEUCHTEN,ownDeveloped,Domestic,dropship,0.302,0.012
171,LEUCHTEN,whiteLabel,Import,mto,0.378,0.012
172,LEUCHTEN,whiteLabel,Import,wh,0.385,0.012
173,LEUCHTEN,whiteLabel,Import,dropship,0.374,0.012
174,LEUCHTEN,whiteLabel,EE,mto,0.312,0.012
175,LEUCHTEN,whiteLabel,EE,wh,0.319,0.012
176,LEUCHTEN,whiteLabel,EE,dropship,0.308,0.012
177,LEUCHTEN,whiteLabel,Domestic,mto,0.284,0.012
