,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err
91,LEUCHTEN,exclusive,Import,1,0.496,0.014
92,LEUCHTEN,exclusive,EE,0,0.389,0.013
93,LEUCHTEN,exclusive,EE,1,0.354,0.012
94,LEUCHTEN,exclusive,Domestic,0,0.351,0.012
95,LEUCHTEN,exclusive,Domestic,1,0.315,0.012
96,LEUCHTEN,other,Import,0,0.461,0.015
97,LEUCHTEN,other,Import,1,0.426,0.015
98,LEUCHTEN,other,EE,0,0.32,0.014
99,LEUCHTEN,other,EE,1,0.284,0.013
100,LEUCHTEN,other,Domestic,0,0.281,0.013
101,LEUCHTEN,other,Domestic,1,0.246,0.013
102,LEUCHTEN,thirdParty,Import,0,0.451,0.015
103,LEUCHTEN,thirdParty,Import,1,0.415,0.014
104,LEUCHTEN,thirdParty,EE,0,0.309,0.013
105,LEUCHTEN,thirdParty,EE,1,0.274,0.013
106,LEUCHTEN,thirdParty,Domestic,0,0.27,0.013
107,LEUCHTEN,thirdParty,Domestic,1,0.235,0.012
108,LEUCHTEN,ownDeveloped,Import,0,0.523,0.015
109,LEUCHTEN,ownDeveloped,Import,1,0.487,0.015
110,LEUCHTEN,ownDeveloped,EE,0,0.381,0.014
111,LEUCHTEN,ownDeveloped,EE,1,0.346,0.013
112,LEUCHTEN,ownDeveloped,Domestic,0,0.342,0.013
113,LEUCHTEN,ownDeveloped,Domestic,1,0.307,0.013
114,LEUCHTEN,whiteLabel,Import,0,0.462,0.015
115,LEUCHTEN,whiteLabel,Import,1,0.427,0.014
116,LEUCHTEN,whiteLabel,EE,0,0.321,0.013
117,LEUCHTEN,whiteLabel,EE,1,0.286,0.013
118,LEUCHTEN,whiteLabel,Domestic,0,0.282,0.013
119,LEUCHTEN,whiteLabel,Domestic,1,0.247,0.012
120,POLSTER,exclusive,Import,0,0.522,0.014
121,POLSTER,exclusive,Import,1,0.487,0.014
122,POLSTER,exclusive,EE,0,0.38,0.013
123,POLSTER,exclusive,EE,1,0.345,0.012
124,POLSTER,exclusive,Domestic,0,0.342,0.012
125,POLSTER,exclusive,Domestic,1,0.306,0.012
126,POLSTER,other,Import,0,0.452,0.015
127,POLSTER,other,Import,1,0.417,0.015
128,POLSTER,other,EE,0,0.311,0.014
129,POLSTER,other,EE,1,0.275,0.013
130,POLSTER,other,Domestic,0,0.272,0.013
131,POLSTER,other,Domestic,1,0.237,0.013
132,POLSTER,thirdParty,Import,0,0.441,0.015
133,POLSTER,thirdParty,Import,1,0.406,0.014
134,POLSTER,thirdParty,EE,0,0.3,0.013
135,POLSTER,thirdParty,EE,1,0.265,0.013
136,POLSTER,thirdParty,Domestic,0,0.261,0.013
137,POLSTER,thirdParty,Domestic,1,0.226,0.012
138,POLSTER,ownDeveloped,Import,0,0.514,0.015
139,POLSTER,ownDeveloped,Import,1,0.478,0.015
140,POLSTER,ownDeveloped,EE,0,0.372,0.014
141,POLSTER,ownDeveloped,EE,1,0.337,0.014
142,POLSTER,ownDeveloped,Domestic,0,0.333,0.013
143,POLSTER,ownDeveloped,Domestic,1,0.298,0.013
144,POLSTER,whiteLabel,Import,0,0.453,0.015
145,POLSTER,whiteLabel,Import,1,0.418,0.014
146,POLSTER,whiteLabel,EE,0,0.312,0.013
147,POLSTER,whiteLabel,EE,1,0.276,0.013
148,POLSTER,whiteLabel,Domestic,0,0.273,0.013
149,POLSTER,whiteLabel,Domestic,1,0.238,0.012
150,BÜRO,exclusive,Import,0,0.569,0.014
151,BÜRO,exclusive,Import,1,0.534,0.014
152,BÜRO,exclusive,EE,0,0.427,0.013
153,BÜRO,exclusive,EE,1,0.392,0.012
