,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err
450,MATRATZEN&LATTENROSTE,exclusive,Import,0,0.547,0.014
451,MATRATZEN&LATTENROSTE,exclusive,Import,1,0.512,0.014
452,MATRATZEN&LATTENROSTE,exclusive,EE,0,0.405,0.013
453,MATRATZEN&LATTENROSTE,exclusive,EE,1,0.37,0.013
454,MATRATZEN&LATTENROSTE,exclusive,Domestic,0,0.367,0.012
455,MATRATZEN&LATTENROSTE,exclusive,Domestic,1,0.331,0.012
456,MATRATZEN&LATTENROSTE,other,Import,0,0.477,0.015
457,MATRATZEN&LATTENROSTE,other,Import,1,0.442,0.015
458,MATRATZEN&LATTENROSTE,other,EE,0,0.336,0.014
459,MATRATZEN&LATTENROSTE,other,EE,1,0.3,0.013
460,MATRATZEN&LATTENROSTE,other,Domestic,0,0.297,0.013
461,MATRATZEN&LATTENROSTE,other,Domestic,1,0.262,0.013
462,MATRATZEN&LATTENROSTE,thirdParty,Import,0,0.467,0.015
463,MATRATZEN&LATTENROSTE,thirdParty,Import,1,0.431,0.015
464,MATRATZEN&LATTENROSTE,thirdParty,EE,0,0.325,0.014
465,MATRATZEN&LATTENROSTE,thirdParty,EE,1,0.29,0.013
466,MATRATZEN&LATTENROSTE,thirdParty,Domestic,0,0.286,0.013
467,MATRATZEN&LATTENROSTE,thirdParty,Domestic,1,0.251,0.013
468,MATRATZEN&LATTENROSTE,ownDeveloped,Import,0,0.539,0.015
469,MATRATZEN&LATTENROSTE,ownDeveloped,Import,1,0.503,0.015
470,MATRATZEN&LATTENROSTE,ownDeveloped,EE,0,0.397,0.014
471,MATRATZEN&LATTENROSTE,ownDeveloped,EE,1,0.362,0.014
472,MATRATZEN&LATTENROSTE,ownDeveloped,Domestic,0,0.358,0.014
473,MATRATZEN&LATTENROSTE,ownDeveloped,Domestic,1,0.323,0.013
474,MATRATZEN&LATTENROSTE,whiteLabel,Import,0,0.478,0.015
475,MATRATZEN&LATTENROSTE,whiteLabel,Import,1,0.443,0.015
476,MATRATZEN&LATTENROSTE,whiteLabel,EE,0,0.337,0.014
477,MATRATZEN&LATTENROSTE,whiteLabel,EE,1,0.302,0.013
478,MATRATZEN&LATTENROSTE,whiteLabel,Domestic,0,0.298,0.013
479,MATRATZEN&LATTENROSTE,whiteLabel,Domestic,1,0.263,0.013
480,BETTEN,exclusive,Import,0,0.492,0.014
481,BETTEN,exclusive,Import,1,0.457,0.014
482,BETTEN,exclusive,EE,0,0.351,0.013
483,BETTEN,exclusive,EE,1,0.316,0.012
484,BETTEN,exclusive,Domestic,0,0.312,0.012
485,BETTEN,exclusive,Domestic,1,0.277,0.012
486,BETTEN,other,Import,0,0.423,0.015
487,BETTEN,other,Import,1,0.387,0.015
488,BETTEN,other,EE,0,0.281,0.014
489,BETTEN,other,EE,1,0.246,0.013
490,BETTEN,other,Domestic,0,0.242,0.013
491,BETTEN,other,Domestic,1,0.207,0.013
492,BETTEN,thirdParty,Import,0,0.412,0.015
493,BETTEN,thirdParty,Import,1,0.377,0.015
494,BETTEN,thirdParty,EE,0,0.271,0.013
495,BETTEN,thirdParty,EE,1,0.235,0.013
496,BETTEN,thirdParty,Domestic,0,0.232,0.013
497,BETTEN,thirdParty,Domestic,1,0.196,0.012
498,BETTEN,ownDeveloped,Import,0,0.484,0.015
499,BETTEN,ownDeveloped,Import,1,0.449,0.015
500,BETTEN,ownDeveloped,EE,0,0.343,0.014
501,BETTEN,ownDeveloped,EE,1,0.307,0.014
502,BETTEN,ownDeveloped,Domestic,0,0.304,0.013
503,BETTEN,ownDeveloped,Domestic,1,0.269,0.013
504,BETTEN,whiteLabel,Import,0,0.424,0.015
505,BETTEN,whiteLabel,Import,1,0.389,0.014
506,BETTEN,whiteLabel,EE,0,0.282,0.013
507,BETTEN,whiteLabel,EE,1,0.247,0.013
508,BETTEN,whiteLabel,Domestic,0,0.244,0.013
509,BETTEN,whiteLabel,Domestic,1,0.208,0.012
510,BAD,exclusive,Import,0,0.587,0.014
511,BAD,exclusive,Import,1,0.552,0.014
512,BAD,exclusive,EE,0,0.446,0.013
513,BAD,exclusive,EE,1,0.41,0.012
514,BAD,exclusive,Domestic,0,0.407,0.012
515,BAD,exclusive,Domestic,1,0.372,0.012
516,BAD,other,Import,0,0.518,0.015
517,BAD,other,Import,1,0.482,0.015
518,BAD,other,EE,0,0.376,0.014
519,BAD,other,EE,1,0.341,0.013
520,BAD,other,Domestic,0,0.337,0.013
521,BAD,other,Domestic,1,0.302,0.013
522,BAD,thirdParty,Import,0,0.507,0.015
523,BAD,thirdParty,Import,1,0.472,0.015
524,BAD,thirdParty,EE,0,0.365,0.014
525,BAD,thirdParty,EE,1,0.33,0.013
526,BAD,thirdParty,Domestic,0,0.327,0.013
527,BAD,thirdParty,Domestic,1,0.291,0.013
528,BAD,ownDeveloped,Import,0,0.579,0.015
529,BAD,ownDeveloped,Import,1,0.544,0.015
530,BAD,ownDeveloped,EE,0,0.438,0.014
531,BAD,ownDeveloped,EE,1,0.402,0.014
532,BAD,ownDeveloped,Domestic,0,0.399,0.014
533,BAD,ownDeveloped,Domestic,1,0.363,0.013
534,BAD,whiteLabel,Import,0,0.519,0.015
535,BAD,whiteLabel,Import,1,0.483,0.015
536,BAD,whiteLabel,EE,0,0.377,0.013
537,BAD,whiteLabel,EE,1,0.342,0.013
538,BAD,whiteLabel,Domestic,0,0.338,0.013
539,BAD,whiteLabel,Domestic,1,0.303,0.013
540,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Import,0,0.58,0.014
541,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Import,1,0.545,0.014
542,ESSZIMMERSTÜHLE&BÄNKE,exclusive,EE,0,0.439,0.013
543,ESSZIMMERSTÜHLE&BÄNKE,exclusive,EE,1,0.403,0.012
544,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Domestic,0,0.4,0.012
545,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Domestic,1,0.364,0.012
546,ESSZIMMERSTÜHLE&BÄNKE,other,Import,0,0.51,0.015
547,ESSZIMMERSTÜHLE&BÄNKE,other,Import,1,0.475,0.015
548,ESSZIMMERSTÜHLE&BÄNKE,other,EE,0,0.369,0.014
549,ESSZIMMERSTÜHLE&BÄNKE,other,EE,1,0.333,0.013
550,ESSZIMMERSTÜHLE&BÄNKE,other,Domestic,0,0.33,0.013
551,ESSZIMMERSTÜHLE&BÄNKE,other,Domestic,1,0.295,0.013
552,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Import,0,0.5,0.015
553,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Import,1,0.464,0.014
554,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,EE,0,0.358,0.013
555,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,EE,1,0.323,0.013
556,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Domestic,0,0.319,0.013
557,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Domestic,1,0.284,0.012
558,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Import,0,0.572,0.015
559,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Import,1,0.537,0.015
560,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,EE,0,0.43,0.014
561,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,EE,1,0.395,0.014
562,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Domestic,0,0.392,0.013
563,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Domestic,1,0.356,0.013
564,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Import,0,0.512,0.015
565,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Import,1,0.476,0.014
566,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,EE,0,0.37,0.013
567,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,EE,1,0.335,0.013
568,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Domestic,0,0.331,0.013
569,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Domestic,1,0.296,0.012
