,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000012530,-0.0187,0.0059,-0.0002,0.0004,15,True
000000001000021922,-0.0194,0.0025,-0.0029,0.0005,17,True
000000001000005727,-0.0246,0.0044,-0.0005,0.0005,16,True
000000001000007327,-0.0229,0.0049,-0.0023,0.0008,17,True
000000001000117179,-0.0242,0.0072,-0.0002,0.0003,18,True
000000001000159178,-0.0215,0.0058,-0.0007,0.0004,10,True
000000001000174905,-0.0245,0.0054,-0.0015,0.0008,8,True
000000001000061845,-0.0187,0.0049,-0.0025,0.0006,11,True
000000001000065698,-0.0219,0.0059,0.0007,0.0004,15,True
000000001000153506,-0.0189,0.0048,0.0,0.0006,14,True
000000001000173830,-0.0163,0.0046,-0.0009,0.0009,14,True
000000001000007079,-0.0158,0.0026,-0.0014,0.0004,19,True
000000001000006373,-0.0152,0.0038,-0.0003,0.0008,11,True
000000001000054980,-0.016,0.0035,0.0002,0.0001,12,True
000000001000080491,-0.0207,0.0048,-0.0024,0.0006,16,True
000000001000118214,-0.0211,0.0035,0.0002,0.0002,19,True
000000001000123220,-0.0184,0.003,-0.0012,0.0004,17,True
000000001000079630,-0.0202,0.0053,-0.0018,0.0006,14,True
000000001000150712,-0.025,0.0066,-0.0008,0.0006,13,True
000000001000022411,-0.0222,0.0043,-0.0001,0.0005,16,True
000000001000123763,-0.0195,0.0064,-0.0022,0.0008,14,True
000000001000151262,-0.0209,0.005,-0.0009,0.0004,10,True
000000001000012484,-0.0154,0.0019,-0.0004,0.0003,11,True
000000001000016142,-0.022,0.0051,-0.0007,0.0006,18,True
000000001000063745,-0.0156,0.0029,-0.0004,0.0003,10,True
000000001000110080,-0.0238,0.0036,0.0015,0.0003,10,True
000000001000133164,-0.0167,0.0044,0.0005,0.0003,13,True
000000001000008029,-0.0182,0.0054,-0.0007,0.0004,14,True
000000001000008540,-0.0235,0.0034,-0.0036,0.0008,20,True
000000001000027393,-0.0161,0.0043,-0.0004,0.0003,17,True
000000001000109991,-0.0201,0.0065,0.0017,0.0009,18,True
000000001000180039,-0.0189,0.0058,-0.0034,0.0011,15,True
000000001000008032,-0.0193,0.0043,-0.0014,0.0004,15,True
000000001000179476,-0.0216,0.0041,0.0,0.0007,16,True
000000001000119939,-0.0205,0.0035,-0.0018,0.0007,18,True
000000001000157008,-0.0248,0.0074,-0.0048,0.0022,14,True
000000001000178551,-0.0207,0.0032,-0.0,0.0003,8,True
000000001000048014,-0.0219,0.0033,-0.0016,0.0006,17,True
000000001000008541,-0.0223,0.0036,-0.0037,0.0008,20,True
000000001000176732,-0.017,0.0045,0.0001,0.0006,16,True
000000001000178071,-0.017,0.004,-0.0002,0.0003,16,True
000000001000022409,-0.0199,0.005,0.0002,0.0006,12,True
000000001000057522,-0.0206,0.0021,-0.0014,0.0003,17,True
000000001000123474,-0.019,0.0047,0.0001,0.0003,16,True
000000001000133268,-0.0168,0.0037,0.0001,0.0002,13,True
000000001000008184,-0.0165,0.0035,-0.0013,0.0003,14,True
000000001000119781,-0.0172,0.0045,0.0002,0.0005,16,True
000000001000022032,-0.0182,0.0032,-0.0004,0.0003,19,True
000000001000112860,-0.02,0.0057,-0.0016,0.0002,6,True
000000001000112680,-0.0163,0.0042,0.0,0.0004,12,True
000000001000133183,-0.0206,0.0036,-0.0017,0.0004,16,True
000000001000008176,-0.0215,0.004,-0.0002,0.0003,11,True
000000001000092141,-0.0161,0.0047,-0.0009,0.0011,9,True
000000001000110081,-0.0209,0.0037,0.0009,0.0008,19,True
000000001000052289,-0.0199,0.0035,-0.0017,0.0006,18,True
000000001000162483,-0.0211,0.005,-0.0016,0.0024,9,True
000000001000092144,-0.0189,0.0037,0.0004,0.0002,16,True
000000001000008080,-0.0174,0.0031,-0.0002,0.0004,15,True
000000001000040399,-0.0178,0.0035,-0.0027,0.0005,15,True
000000001000007595,-0.0205,0.0064,-0.0014,0.0006,9,True
000000001000156835,-0.0162,0.0031,-0.0003,0.0002,16,True
000000001000081480,-0.023,0.007,-0.0057,0.0017,7,True
000000001000109923,-0.0206,0.0043,-0.0046,0.0018,15,True
000000001000176929,-0.0174,0.0051,-0.0013,0.0005,11,True
000000001000112672,-0.018,0.0042,-0.0002,0.0004,13,True
000000001000116754,-0.0246,0.0037,-0.0016,0.0005,21,True
000000001000180508,-0.0244,0.0045,-0.0004,0.0004,18,True
000000001000117849,-0.0173,0.0032,-0.0001,0.0003,17,True
000000001000016049,-0.0181,0.0024,-0.002,0.0005,15,True
000000001000052321,-0.0179,0.0023,-0.0006,0.0002,15,True
000000001000123549,-0.0199,0.0048,-0.0036,0.0017,15,True
000000001000050875,-0.0174,0.0023,-0.0001,0.0002,21,True
000000001000092326,-0.0169,0.0028,-0.0004,0.0005,16,True
000000001000110286,-0.0197,0.0054,0.0,0.0007,9,True
000000001000153430,-0.0166,0.0022,-0.0005,0.0002,6,True
000000001000027397,-0.0152,0.0019,-0.0006,0.0002,17,True
000000001000052304,-0.02,0.0037,-0.0001,0.0009,15,True
000000001000112858,-0.0248,0.006,-0.0013,0.0003,10,True
000000001000125029,-0.0171,0.004,-0.0013,0.0011,15,True
000000001000006093,-0.0201,0.0052,-0.0004,0.0005,16,True
000000001000119744,-0.0188,0.0033,-0.0022,0.0005,12,True
000000001000021979,-0.0213,0.0046,-0.0007,0.0008,18,True
000000001000117318,-0.0161,0.0032,-0.001,0.0006,16,True
000000001000123456,-0.0156,0.0028,-0.0017,0.0006,13,True
000000001000123800,-0.0229,0.0044,0.0002,0.0003,14,True
000000001000149111,-0.0224,0.0024,-0.0029,0.0006,17,True
000000001000039240,-0.0248,0.0065,-0.0016,0.0014,5,True
000000001000133158,-0.019,0.0052,-0.0018,0.0007,14,True
000000001000163991,-0.0158,0.0049,-0.0006,0.0004,14,True
000000001000178563,-0.0221,0.0027,-0.0007,0.0004,13,True
000000001000012548,-0.0187,0.0061,-0.0002,0.0008,16,True
000000001000121915,-0.0216,0.0046,-0.0006,0.0007,12,True
000000001000123591,-0.018,0.0035,-0.0031,0.0006,12,True
000000001000150715,-0.0204,0.0034,-0.0003,0.0003,11,True
000000001000125108,-0.0173,0.0051,-0.0018,0.0007,18,True
000000001000125821,-0.0225,0.0041,-0.0002,0.0003,17,True
000000001000064337,-0.0221,0.0045,-0.0004,0.0004,19,True
000000001000157014,-0.0154,0.0031,0.001,0.0008,15,True
000000001000008519,-0.025,0.0034,-0.0026,0.0008,17,True
000000001000047976,-0.0203,0.0028,-0.0005,0.0003,17,True
000000001000054423,-0.0243,0.0042,-0.0028,0.0009,16,True
000000001000110001,-0.0225,0.006,-0.002,0.0021,17,True
000000001000008069,-0.016,0.0035,-0.0013,0.0005,17,True
000000001000008532,-0.019,0.003,-0.0033,0.0007,21,True
000000001000057521,-0.0194,0.0041,-0.0003,0.0002,18,True
000000001000176743,-0.0193,0.0042,-0.0017,0.0006,18,True
000000001000008072,-0.0218,0.0033,-0.0025,0.0008,15,True
000000001000123291,-0.021,0.0031,-0.001,0.0003,18,True
000000001000008580,-0.0181,0.0048,-0.0001,0.0002,17,True
000000001000064336,-0.02,0.0033,-0.0012,0.0006,17,True
000000001000110284,-0.0238,0.0066,0.0001,0.0005,12,True
000000001000125852,-0.0165,0.0033,-0.0008,0.0004,17,True
000000001000176198,-0.0208,0.0037,-0.0025,0.0008,14,True
000000001000015677,-0.0225,0.004,0.0002,0.0005,19,True
000000001000110349,-0.0212,0.0032,0.0003,0.0003,9,True
000000001000119209,-0.0186,0.0044,0.0002,0.0002,17,True
000000001000153541,-0.0225,0.005,0.0002,0.0006,12,True
000000001000008520,-0.0243,0.0034,-0.0033,0.0008,16,True
000000001000138431,-0.0225,0.0065,-0.0006,0.0008,19,True
000000001000173677,-0.0192,0.0043,0.0001,0.0008,10,True
000000001000008513,-0.0173,0.0029,-0.0032,0.0007,21,True
000000001000081136,-0.0184,0.0054,-0.001,0.0006,11,True
000000001000021921,-0.0214,0.0026,-0.0007,0.0003,20,True
000000001000057600,-0.0223,0.0036,-0.001,0.0002,18,True
000000001000064697,-0.0206,0.0032,-0.001,0.0007,9,True
000000001000104042,-0.0155,0.0042,0.0003,0.0005,13,True
000000001000117164,-0.0213,0.0038,-0.0002,0.0002,18,True
000000001000021852,-0.017,0.0048,-0.0015,0.0004,19,True
000000001000035466,-0.0195,0.004,-0.001,0.0003,10,True
000000001000008063,-0.0162,0.0031,-0.0002,0.0004,12,True
000000001000008535,-0.0251,0.0034,-0.0035,0.0009,19,True
000000001000008509,-0.0178,0.0028,-0.0022,0.0006,19,True
000000001000116607,-0.0226,0.0073,-0.0007,0.0006,15,True
000000001000123273,-0.0163,0.0029,-0.0006,0.0005,18,True
000000001000039430,-0.0218,0.0036,0.0003,0.0008,17,True
000000001000178558,-0.0168,0.0023,-0.0005,0.0002,5,True
000000001000052299,-0.0209,0.0051,-0.0011,0.0018,13,True
000000001000119223,-0.0177,0.0036,0.0003,0.0001,17,True
000000001000123495,-0.0229,0.0064,-0.0006,0.0007,16,True
