,item_code,avg_conv_rate,last_price,last_date,avg_unique_views,PE,PE_err,has_enough_stat,pc2,item_skey
231,000000001000118943,0.006352726875744343,279.99,2021-02-25,55.977777777777774,-0.0085,0.0047,False,156.580,4197854678214
232,000000001000127688,0.00027201424485189175,1399.99,2021-02-10,169.0104683803039,-0.0031,0.0038,False,987.679,9902604840598
233,000000001000128193,0.006105905914124627,799.99,2021-02-23,26.874864718614717,0.0056,0.0049,False,456.430,100028706116842
234,000000001000135858,0.00429812329929241,149.99,2021-02-25,40.14699930743164,-0.02,0.0052,True,62.820,234935292544715
235,000000001000136070,0.002421032749983804,599.99,2021-02-19,428.52380952380946,0.0571,0.0236,False,381.180,163333177729970
236,000000001000138436,0.006829055753122405,269.99,2021-01-16,162.41666666666666,-0.018,0.0036,True,104.380,242861293129744
237,000000001000166787,0.009356509355509355,799.99,2021-02-17,24.05,-0.0035,0.0024,False,340.860,264707643242161
238,000000001000171141,0.00999100999000999,161.99,2020-11-08,111.22222222222223,-0.0233,0.007,True,106.610,174223993968068
239,000000001000206731,0.015054768803407234,134.99,2021-02-14,103.54444444444445,-0.0165,0.0039,True,69.379,74093444053626
240,000000001000209810,0.005208551971403921,399.99,2021-02-17,101.01343537414967,-0.0127,0.0044,False,182.490,188156419035094
241,000000001000007109,0.0017144311849836078,699.99,2021-02-25,70.00992063492062,-0.0101,0.0033,True,261.779,163587738196680
242,000000001000008796,0.05002207037505268,79.99,2020-12-18,26.642857142857142,-0.0328,0.0103,True,34.060,122040131064446
243,000000001000012552,0.016321532393641102,499.99,2020-09-17,69.10765550239235,-0.0343,0.007,True,355.240,111229254824977
244,000000001000012559,0.006536947712418301,234.99,2021-02-03,176.53846153846155,-0.0094,0.0034,False,127.390,43853440079384
245,000000001000016021,0.05646010780669145,99.99,2021-02-25,782.5454545454545,-0.0431,0.0051,True,52.049,139976088621728
246,000000001000024972,0.013370517971458835,649.99,2021-02-20,26.706757703081234,-0.0295,0.0134,False,356.040,233218967385512
247,000000001000027508,0.052296938024716806,79.99,2021-02-25,30.6563434464695,-0.056,0.0092,True,44.149,185796937137461
248,000000001000030828,0.007477907075979797,299.99,2021-01-27,110.65262746512747,-0.0,0.0049,False,190.590,99610488146116
249,000000001000032245,0.0040741383041222315,999.99,2021-02-12,108.82249517871088,-0.0126,0.0052,False,617.669,21573124631018
250,000000001000050850,0.005056083023512922,264.99,2021-02-25,134.1594827586207,-0.0358,0.0062,True,114.050,112618974590311
251,000000001000052651,0.005894909626719057,104.99,2021-02-12,145.42857142857142,-0.009,0.0104,False,57.859,20391616588838
252,000000001000052653,0.0004118810502740402,749.99,2021-02-14,65.69743591103885,-0.0002,0.0023,False,478.050,206288277394932
253,000000001000053664,0.0008064163139806044,869.99,2021-02-25,49.182552542773124,-0.0,0.0038,False,491.279,142146134602346
254,000000001000056199,0.021763242820367068,149.99,2020-08-17,106.21309523809524,-0.0308,0.0124,False,98.579,274875034798182
255,000000001000057367,0.0007314853823774033,629.99,2021-02-21,116.22623556998558,-0.0023,0.0039,False,366.170,84009130952252
