,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000164660,-0.003,0.0007,0.0,0.0001,13,True
000000001000176734,-0.0149,0.003,-0.0,0.0003,15,True
000000001000064521,-0.007,0.0022,-0.0016,0.0003,12,True
000000001000124600,-0.0145,0.0034,-0.0003,0.0002,18,True
000000001000174312,-0.0096,0.0023,0.0002,0.0001,17,True
000000001000008827,-0.0136,0.0024,-0.0002,0.0002,20,True
000000001000012817,-0.0128,0.0025,0.0,0.0001,20,True
000000001000027423,-0.0089,0.002,-0.0006,0.0002,13,True
000000001000156992,-0.0089,0.0024,-0.0002,0.0003,16,True
000000001000076760,-0.0101,0.0031,-0.0005,0.0005,18,True
000000001000119830,-0.0102,0.0023,-0.0006,0.0002,10,True
000000001000166806,-0.0123,0.0027,0.0,0.0001,15,True
000000001000167289,-0.009,0.0021,-0.0,0.0001,17,True
000000001000191237,-0.0096,0.0024,0.0003,0.0001,14,True
000000001000119198,-0.0151,0.0033,0.0001,0.0001,14,True
000000001000054183,-0.0109,0.0022,-0.0004,0.0004,19,True
000000001000064530,-0.0127,0.0023,-0.0007,0.0002,15,True
000000001000092325,-0.0102,0.0032,-0.0005,0.0004,18,True
000000001000012569,-0.0079,0.0025,0.0002,0.0001,17,True
000000001000123698,-0.0114,0.003,-0.0002,0.0001,17,True
000000001000012836,-0.0145,0.0034,-0.0001,0.0003,17,True
000000001000051675,-0.0149,0.0029,0.0001,0.0002,14,True
000000001000054039,-0.0082,0.0026,0.0002,0.0002,16,True
000000001000071068,-0.0085,0.0025,-0.0016,0.0005,13,True
000000001000006422,-0.0146,0.0044,-0.0009,0.0007,10,True
000000001000008748,-0.0117,0.0034,0.0001,0.0001,18,True
000000001000097073,-0.0146,0.0035,-0.0019,0.0005,10,True
000000001000016048,-0.0146,0.0025,-0.0008,0.0002,15,True
000000001000027430,-0.0133,0.0033,-0.0024,0.0004,18,True
000000001000092353,-0.0075,0.0021,0.0002,0.0002,15,True
000000001000110022,-0.015,0.002,-0.0004,0.0004,18,True
000000001000117280,-0.0131,0.0036,-0.0002,0.0004,15,True
000000001000150187,-0.0143,0.0046,-0.0009,0.0007,14,True
000000001000086539,-0.0061,0.002,-0.0006,0.0001,19,True
000000001000124055,-0.0107,0.0022,0.0003,0.0002,15,True
000000001000007080,-0.0144,0.0034,-0.0004,0.0001,13,True
000000001000008867,-0.0139,0.003,0.0003,0.0002,17,True
000000001000054797,-0.0115,0.0028,-0.0001,0.0002,16,True
000000001000064533,-0.0129,0.0027,-0.0006,0.0003,18,True
000000001000047992,-0.0112,0.0033,-0.0006,0.0004,15,True
000000001000121598,-0.0101,0.0029,-0.0001,0.0002,14,True
000000001000123701,-0.0134,0.0026,-0.0006,0.0002,9,True
000000001000126908,-0.0076,0.002,0.0,0.0001,17,True
000000001000015609,-0.0126,0.0031,-0.001,0.0003,18,True
000000001000121596,-0.0115,0.0033,-0.0001,0.0003,12,True
000000001000126922,-0.01,0.0031,-0.0005,0.0002,15,True
000000001000123475,-0.0141,0.0033,0.0001,0.0002,15,True
000000001000128195,-0.0133,0.0044,-0.0009,0.0005,16,True
000000001000016121,-0.0106,0.0026,-0.0019,0.0004,13,True
000000001000119833,-0.0074,0.0024,-0.0005,0.0003,12,True
000000001000028761,-0.0102,0.0028,-0.0002,0.0002,16,True
000000001000007385,-0.01,0.0018,-0.001,0.0004,19,True
000000001000007591,-0.0101,0.0025,-0.0034,0.0003,17,True
000000001000054182,-0.015,0.0024,-0.0006,0.0004,20,True
000000001000064659,-0.0117,0.0027,0.0001,0.0001,17,True
000000001000128457,-0.0108,0.002,-0.001,0.0003,16,True
000000001000012823,-0.0075,0.0023,0.0003,0.0001,19,True
000000001000048015,-0.0142,0.0036,-0.0009,0.0006,15,True
000000001000008050,-0.0105,0.0029,-0.0006,0.0003,12,True
000000001000037682,-0.0119,0.0038,-0.0013,0.0003,18,True
000000001000039125,-0.0125,0.0026,0.0003,0.0002,15,True
000000001000117189,-0.0141,0.003,0.0001,0.0002,20,True
000000001000136054,-0.0051,0.0017,0.0,0.0001,15,True
000000001000138429,-0.0141,0.0044,-0.0027,0.0007,19,True
000000001000183571,-0.0145,0.0046,-0.0021,0.0005,18,True
000000001000007105,-0.0067,0.002,-0.0001,0.0001,17,True
000000001000016061,-0.012,0.0024,-0.0002,0.0004,14,True
000000001000092019,-0.0135,0.0029,-0.0004,0.0003,15,True
000000001000174658,-0.0132,0.0027,-0.0004,0.0002,16,True
000000001000022035,-0.0115,0.0033,-0.0005,0.0003,15,True
000000001000047981,-0.0114,0.0033,-0.0006,0.0002,16,True
000000001000076758,-0.0148,0.0032,-0.0019,0.0004,16,True
000000001000008808,-0.0094,0.0031,-0.0008,0.0006,20,True
000000001000027404,-0.0058,0.0015,-0.0002,0.0002,18,True
000000001000015658,-0.0142,0.0039,-0.0011,0.0003,19,True
000000001000016078,-0.0136,0.0042,-0.0005,0.0004,15,True
000000001000123519,-0.0094,0.0025,-0.0004,0.0003,13,True
000000001000008815,-0.0133,0.0034,-0.0019,0.0007,16,True
000000001000012445,-0.0092,0.0027,0.0001,0.0001,15,True
000000001000169000,-0.0118,0.0033,0.0002,0.0002,13,True
000000001000012758,-0.0091,0.0026,-0.0001,0.0001,18,True
000000001000183892,-0.0143,0.0022,-0.0013,0.0005,17,True
000000001000127446,-0.01,0.0033,0.0001,0.0002,19,True
000000001000122378,-0.0102,0.003,-0.0017,0.0004,17,True
000000001000056892,-0.0117,0.0032,-0.0035,0.0006,15,True
000000001000012822,-0.0094,0.0028,0.0002,0.0002,17,True
000000001000164008,-0.0145,0.0035,-0.0028,0.0005,19,True
000000001000114887,-0.0124,0.0028,-0.0007,0.0002,17,True
000000001000008729,-0.0144,0.0043,-0.0015,0.0006,13,True
000000001000064654,-0.0107,0.003,-0.0002,0.0003,16,True
000000001000128954,-0.012,0.003,-0.0014,0.0005,15,True
000000001000179475,-0.0131,0.0043,-0.0014,0.0008,11,True
000000001000138993,-0.0048,0.0014,-0.0005,0.0002,18,True
000000001000027369,-0.0146,0.0029,-0.0004,0.0003,13,True
000000001000123651,-0.0097,0.0023,-0.0006,0.0003,13,True
000000001000191946,-0.0013,0.0004,-0.0,0.0,17,True
000000001000125747,-0.0065,0.0015,-0.0003,0.0002,19,True
000000001000005729,-0.0146,0.0047,-0.0001,0.0004,17,True
000000001000170702,-0.0131,0.0031,-0.0004,0.0004,14,True
000000001000008038,-0.0093,0.003,-0.0012,0.0005,20,True
000000001000079663,-0.0147,0.0038,-0.0001,0.0003,20,True
000000001000128456,-0.0098,0.0029,0.0001,0.0002,13,True
000000001000126205,-0.0102,0.0034,-0.0007,0.0004,16,True
