,item_code,item_price_x,max_date,delivery_weeks,sales_pe,sales_pe_err,beta_del_week,beta_del_week_err,intercept,intercept_err,pc2,item_skey
0,1000016121,299.99,2021-04-28,1,-1.5734,0.3957,-0.0107,0.013000000000000001,9.6288,2.286,130.33,40600078796222
1,1000021904,239.99,2021-04-23,3,-3.8838,0.8329,-0.0205,0.0227,22.0802,4.5178,123.28,138251605120553
2,1000054054,329.99,2021-04-26,16,-0.8534,0.1496,-0.0117,0.0032,5.0027,0.79,177.05,258578614695714
3,1000064483,53.99,2021-03-07,1,-2.8085,0.6689,-0.0159,0.0247,16.9157,3.9106,30.64,277856157534661
4,1000137922,629.99,2021-04-28,3,-1.952,0.6018,-0.073,0.0314,12.0455,3.5729,369.85,256364191196067
5,1000208251,419.99,2021-02-26,3,-0.8957,0.2646,-0.0329,0.008,5.9722,1.5214,245.33,281170387287781
6,1000211528,94.99,2021-04-28,1,-3.0491,0.5367,-0.0499,0.0357,17.5739,2.7976,50.789,48817714062240
7,1000007431,104.99,2021-04-28,1,-18.2928,2.4617,-0.1186,0.1062,85.2384,11.3301,42.99,73591042629309
8,1000008030,269.99,2021-04-15,2,-2.3703,0.4269,-0.0517,0.0147,14.215,2.3461,103.55,166122491071574
9,1000021988,66.99,2021-03-15,1,3.6143,1.0257,-0.0986,0.0385,-14.245999999999999,4.3113,42.59,118363529402010
10,1000048003,349.99,2021-04-23,3,-2.7317,0.3851,-0.0089,0.0067,16.2329,2.1005,168.4,33009929417484
11,1000080285,139.99,2021-04-15,2,-2.6669,0.6424,-0.0648,0.0157,13.8496,3.1919,93.459,269148416883408
12,1000087583,219.99,2021-03-28,9,-1.5979,0.4264,-0.037000000000000005,0.0085,8.7587,2.1987,114.22,191583886188344
13,1000101087,264.99,2021-04-15,2,-1.8002,0.4523,-0.0054,0.0055,10.8156,2.7041,152.259,127764241568821
14,1000101103,249.99,2021-04-02,3,-2.0557,0.5955,-0.0122,0.0155,12.890999999999998,3.7054,143.16,70121275023858
15,1000104169,119.99,2021-04-28,1,-2.1983,0.3644,-0.0511,0.0147,11.7273,1.78,53.109,85044611492193
16,1000121623,479.99,2021-03-29,7,-1.5505,0.47600000000000003,-0.0427,0.0119,9.4705,2.8145,270.19,148450292983351
17,1000128954,629.99,2021-04-11,8,-1.181,0.2423,-0.0135,0.0071,8.2086,1.5703,219.569,162926904430731
