,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000008038,-0.0133,0.0031,-0.0014,0.0005,20,True
000000001000128456,-0.0128,0.003,0.0004,0.0002,14,True
000000001000163991,-0.0161,0.0051,-0.0007,0.0004,14,True
000000001000126205,-0.0147,0.0034,-0.0009,0.0004,16,True
000000001000012644,-0.011,0.003,0.0002,0.0002,13,True
000000001000050914,-0.0138,0.0044,-0.0016,0.0004,16,True
000000001000096796,-0.0091,0.0023,-0.0009,0.0008,8,True
000000001000123537,-0.0093,0.002,-0.0001,0.0001,19,True
000000001000135758,-0.0161,0.0038,-0.003,0.0008,16,True
000000001000086582,-0.0122,0.0026,-0.0004,0.0003,17,True
000000001000007034,-0.0098,0.0028,-0.0021,0.0007,15,True
000000001000039123,-0.0085,0.0025,0.0001,0.0002,18,True
000000001000120238,-0.0134,0.0024,-0.0004,0.0002,17,True
000000001000007076,-0.0119,0.0027,-0.0006,0.0003,16,True
000000001000064658,-0.0113,0.0033,-0.0019,0.0006,13,True
000000001000092080,-0.0038,0.0012,-0.0007,0.0002,15,True
000000001000006376,-0.0156,0.0042,-0.0008,0.0005,9,True
000000001000057521,-0.0159,0.0044,-0.0006,0.0003,18,True
000000001000076594,-0.0105,0.0031,-0.0025,0.0005,16,True
000000001000123697,-0.0166,0.0054,-0.0012,0.001,7,True
000000001000183891,-0.0128,0.003,-0.0018,0.0004,15,True
000000001000022051,-0.0067,0.002,-0.0012,0.0002,16,True
000000001000126041,-0.006,0.0018,-0.0002,0.0001,15,True
000000001000139818,-0.0169,0.0043,-0.0033,0.0003,14,True
000000001000039171,-0.0162,0.0039,-0.0007,0.0003,20,True
000000001000092055,-0.0155,0.0042,-0.0004,0.0003,13,True
000000001000125852,-0.0164,0.0036,-0.001,0.0004,17,True
000000001000051677,-0.0106,0.0035,0.0001,0.0002,14,True
000000001000012696,-0.0169,0.0033,-0.0005,0.0004,16,True
000000001000096818,-0.0149,0.0038,-0.0014,0.0003,16,True
000000001000008752,-0.0153,0.0044,0.0001,0.0002,17,True
000000001000064341,-0.0132,0.0037,-0.0013,0.0005,18,True
000000001000124203,-0.0136,0.004,-0.0004,0.0004,12,True
000000001000119730,-0.0101,0.003,-0.0014,0.0008,11,True
000000001000198301,0.0929,0.0306,-0.0067,0.0021,1,True
000000001000008121,-0.0096,0.0028,-0.0005,0.0003,15,True
000000001000046269,-0.0074,0.0016,-0.0009,0.0002,18,True
000000001000064511,-0.0148,0.0021,-0.0008,0.0002,14,True
000000001000012802,-0.0099,0.0027,-0.0,0.0002,15,True
000000001000126892,-0.0115,0.0031,0.0001,0.0001,16,True
000000001000008775,-0.0093,0.0028,-0.0004,0.0002,17,True
