,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000092555,-0.1439,0.0266,-0.0124,0.0054,6,True
000000001000016116,-0.0492,0.0075,-0.0002,0.0007,20,True
000000001000174112,-0.039,0.0054,-0.0019,0.0007,12,True
000000001000092554,-0.0883,0.0156,-0.0092,0.0042,10,True
000000001000064496,-0.0684,0.017,-0.0,0.0019,11,True
000000001000176579,-0.0535,0.0077,-0.0,0.0008,19,True
000000001000164581,-0.0464,0.0083,0.0005,0.0003,18,True
000000001000016087,-0.043,0.008,0.0003,0.0011,15,True
000000001000117276,-0.0605,0.0071,-0.0055,0.0016,18,True
000000001000016133,-0.0489,0.0082,-0.0003,0.0008,19,True
000000001000015958,-0.0526,0.0053,-0.0011,0.0008,19,True
000000001000015960,-0.0395,0.007,-0.001,0.0006,19,True
000000001000112676,-0.046,0.007,-0.0005,0.0006,19,True
000000001000016115,-0.0529,0.0108,-0.0008,0.0006,18,True
000000001000022585,-0.098,0.0121,-0.0163,0.0064,8,True
000000001000016018,-0.0594,0.0102,0.0008,0.001,19,True
000000001000016140,-0.0352,0.0079,-0.0002,0.0006,17,True
000000001000065870,-0.0371,0.0123,0.0001,0.0004,3,True
000000001000176577,-0.0598,0.0074,-0.0027,0.0013,19,True
000000001000016023,-0.0488,0.0072,-0.0013,0.001,19,True
000000001000096490,-0.0352,0.0111,-0.0097,0.0011,11,True
000000001000015961,-0.0489,0.006,-0.0009,0.0007,19,True
000000001000016021,-0.0532,0.0075,-0.0,0.0009,19,True
000000001000008755,-0.0379,0.0048,-0.0023,0.0009,12,True
000000001000016096,-0.0458,0.0076,-0.0005,0.0008,18,True
000000001000201491,-0.1415,0.0221,-0.0301,0.0115,5,True
000000001000092552,-0.0647,0.0117,-0.0075,0.0035,9,True
000000001000015959,-0.0483,0.0063,-0.0033,0.0013,18,True
000000001000016022,-0.0603,0.0088,0.0002,0.0007,19,True
000000001000016117,-0.0525,0.0095,-0.0006,0.001,17,True
000000001000117258,-0.0436,0.0078,-0.0001,0.0004,18,True
000000001000008720,-0.039,0.005,0.0004,0.0006,15,True
000000001000016110,-0.0539,0.0102,-0.0013,0.001,17,True
000000001000016015,-0.0454,0.0103,-0.0075,0.0021,15,True
000000001000016020,-0.0557,0.0094,0.0007,0.0009,18,True
000000001000092556,-0.0749,0.0142,-0.0078,0.0034,8,True
000000001000207492,-0.0564,0.008,0.0006,0.0004,13,True
000000001000207491,-0.0469,0.0078,0.0002,0.0003,16,True
