,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000184087,-0.0327,0.0096,-0.0067,0.0017,13,True
000000001000008010,-0.0264,0.0085,-0.001,0.0012,11,True
000000001000113340,-0.0214,0.0071,-0.0002,0.001,11,True
000000001000111508,-0.0233,0.0033,-0.0008,0.0005,17,True
000000001000118866,-0.0263,0.0047,-0.0007,0.0069,8,True
000000001000114875,-0.0198,0.0055,-0.0042,0.0015,15,True
000000001000022356,-0.0343,0.0066,-0.0014,0.0007,14,True
000000001000022171,-0.0219,0.0064,-0.0016,0.0013,7,True
000000001000008515,-0.0327,0.0036,-0.0047,0.0008,19,True
000000001000116901,-0.0255,0.0069,-0.0041,0.0008,10,True
000000001000008529,-0.0335,0.0035,-0.004,0.0009,19,True
000000001000114867,-0.0206,0.0068,-0.0041,0.002,10,True
000000001000174114,-0.0319,0.0054,-0.0021,0.0006,13,True
000000001000129701,-0.0218,0.0056,-0.0052,0.0011,16,True
000000001000117655,-0.0289,0.0084,0.0015,0.0005,16,True
000000001000062044,-0.0226,0.0067,-0.0005,0.0004,13,True
000000001000016119,-0.0201,0.0044,-0.002,0.0007,9,True
000000001000016125,-0.0294,0.004,-0.0035,0.0006,9,True
000000001000101110,-0.0244,0.0063,-0.0019,0.0008,16,True
000000001000121906,-0.0245,0.007,-0.0001,0.0006,13,True
000000001000117325,-0.025,0.0075,0.0003,0.0007,15,True
000000001000101103,-0.0223,0.0071,-0.0012,0.0008,11,True
000000001000112662,-0.0302,0.0072,-0.0017,0.0008,13,True
000000001000063420,-0.0302,0.0078,-0.0042,0.0014,7,True
000000001000015884,-0.0266,0.0061,-0.0024,0.0013,15,True
000000001000069675,-0.0276,0.0044,-0.0029,0.0018,13,True
000000001000037730,-0.0304,0.0066,-0.0003,0.0002,14,True
000000001000064652,-0.0209,0.004,0.0,0.0002,14,True
000000001000051585,-0.0207,0.0038,0.0005,0.0002,17,True
000000001000016135,-0.0281,0.0047,-0.0035,0.0007,7,True
000000001000169137,-0.033,0.0078,-0.0037,0.0008,4,True
000000001000021923,-0.03,0.0081,-0.0038,0.001,12,True
000000001000016092,-0.03,0.0059,-0.0012,0.0005,8,True
000000001000182807,-0.0269,0.0057,0.0002,0.0002,15,True
000000001000136118,-0.0197,0.0061,-0.0038,0.0008,16,True
000000001000114877,-0.0218,0.0049,-0.005,0.001,14,True
000000001000207072,-0.0202,0.0047,-0.0007,0.0003,13,True
000000001000185465,-0.0323,0.009,0.0009,0.0005,16,True
000000001000131686,-0.0211,0.0035,-0.0011,0.0005,15,True
