,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000163087,-0.0386,0.005,0.0017,0.0007,16,True
000000001000175474,-0.0858,0.0149,0.0048,0.0046,15,True
000000001000112266,-0.0774,0.0111,-0.0031,0.0047,16,True
000000001000153543,-0.0306,0.0043,0.0006,0.0007,13,True
000000001000175462,-0.032,0.0066,-0.0024,0.0029,11,True
000000001000183821,-0.0472,0.0061,-0.0007,0.0006,18,True
000000001000007449,-0.0478,0.0053,-0.0009,0.0005,18,True
000000001000137738,-0.0372,0.0073,0.0023,0.0025,8,True
000000001000103878,-0.1863,0.0401,-0.0206,0.0177,2,True
000000001000116755,-0.0368,0.0048,-0.0006,0.0007,19,True
000000001000064526,-0.0441,0.0078,-0.0016,0.0014,19,True
000000001000118440,-0.0659,0.0138,-0.0197,0.0029,10,True
000000001000016027,-0.0393,0.0066,-0.0004,0.0006,17,True
000000001000104058,-0.089,0.0155,-0.004,0.0018,12,True
000000001000128078,-0.0572,0.0054,0.0021,0.0008,15,True
000000001000129379,-0.0579,0.011,0.0039,0.0041,19,True
000000001000046706,-0.0901,0.023,-0.0057,0.0022,11,True
000000001000123390,-0.033,0.0051,-0.0012,0.0008,14,True
000000001000175468,-0.0751,0.0126,-0.0002,0.0034,15,True
000000001000007433,-0.0331,0.0055,-0.0003,0.0006,21,True
000000001000024948,-0.0619,0.0102,-0.0084,0.0029,9,True
000000001000026255,-0.0771,0.0177,0.0034,0.0023,9,True
000000001000175647,-0.084,0.0115,-0.0178,0.0046,11,True
000000001000002471,-0.0524,0.0073,0.003,0.0018,15,True
000000001000012679,-0.0354,0.0111,-0.0012,0.0006,8,True
000000001000092579,-0.0603,0.01,-0.006,0.0021,9,True
000000001000153558,-0.0323,0.0044,-0.0003,0.0005,19,True
000000001000024939,-0.0758,0.0121,-0.0068,0.0026,12,True
000000001000125821,-0.0292,0.0049,-0.0006,0.0004,17,True
000000001000149144,-0.0387,0.0062,0.0072,0.0042,17,True
000000001000175473,-0.06,0.0069,0.0025,0.001,17,True
000000001000182183,-0.137,0.0213,0.0044,0.0023,14,True
000000001000012521,-0.0287,0.0089,-0.0024,0.0008,12,True
000000001000022425,-0.0821,0.0145,-0.0127,0.0085,12,True
000000001000123214,-0.0498,0.006,-0.0012,0.0007,16,True
000000001000046905,-0.0324,0.0051,-0.0001,0.0003,14,True
000000001000187105,-0.0333,0.0064,-0.0004,0.0004,13,True
000000001000008519,-0.0295,0.0035,-0.003,0.0008,17,True
000000001000153540,-0.0392,0.0046,0.0007,0.0006,16,True
000000001000008532,-0.0291,0.0031,-0.0038,0.0007,21,True
000000001000133282,-0.06,0.0108,0.0043,0.0041,14,True
000000001000176718,-0.0413,0.0066,0.0004,0.0006,18,True
000000001000007435,-0.0415,0.0049,-0.0008,0.0005,21,True
000000001000149292,-0.0339,0.0047,-0.001,0.0023,14,True
000000001000008849,-0.0315,0.0079,0.0003,0.0002,19,True
000000001000015626,-0.0961,0.0204,-0.0062,0.0041,14,True
000000001000050849,-0.037,0.0068,-0.0002,0.0006,16,True
000000001000037846,-0.084,0.0149,-0.0079,0.0031,9,True
000000001000110284,-0.0339,0.0072,0.0006,0.0005,12,True
000000001000005774,-0.0438,0.0138,-0.0028,0.0015,16,True
000000001000008789,-0.0952,0.0174,-0.0059,0.0014,9,True
000000001000187007,-0.0405,0.006,-0.0004,0.0003,18,True
000000001000008520,-0.0317,0.0038,-0.0036,0.0009,16,True
000000001000112017,-0.0553,0.0153,0.0021,0.0008,13,True
000000001000173132,-0.0405,0.0056,0.0009,0.0022,11,True
000000001000024318,-0.0676,0.0118,-0.0008,0.0015,12,True
000000001000111505,-0.0338,0.0033,-0.0015,0.0008,14,True
000000001000173701,-0.0523,0.0102,-0.0005,0.0008,13,True
000000001000178362,-0.0382,0.0066,0.0024,0.0033,15,True
000000001000024328,-0.0563,0.0092,-0.0008,0.0013,10,True
000000001000091266,-0.0441,0.0072,-0.0005,0.0009,13,True
000000001000149520,-0.0463,0.0093,-0.0022,0.0023,12,True
000000001000008550,-0.0321,0.0042,0.0001,0.0002,17,True
000000001000064697,-0.0286,0.0033,-0.002,0.0007,9,True
000000001000160306,-0.0337,0.0044,0.0003,0.0033,8,True
000000001000117663,-0.0517,0.0169,-0.0026,0.0021,6,True
000000001000166037,-0.0336,0.009,-0.0033,0.0009,18,True
000000001000164524,-0.0504,0.0058,-0.0001,0.0006,20,True
000000001000016010,-0.0408,0.0052,-0.0035,0.0008,20,True
000000001000027359,-0.0331,0.007,-0.0006,0.0008,15,True
000000001000123288,-0.0431,0.0092,-0.0015,0.0011,14,True
000000001000006092,-0.044,0.0052,-0.0036,0.0009,18,True
000000001000007431,-0.061,0.0078,0.0005,0.0006,21,True
000000001000008535,-0.0362,0.0034,-0.0045,0.0009,19,True
000000001000016035,-0.0509,0.0055,-0.0001,0.0007,20,True
000000001000133233,-0.0436,0.0066,-0.0,0.0003,15,True
000000001000008788,-0.1019,0.0168,-0.0033,0.0017,10,True
000000001000114081,-0.0438,0.006,-0.0023,0.0008,19,True
000000001000116607,-0.0334,0.0076,-0.0013,0.0006,15,True
000000001000024312,-0.0814,0.0171,-0.0096,0.0027,9,True
000000001000136173,-0.0356,0.0078,-0.0014,0.0048,9,True
000000001000160307,-0.0707,0.0151,-0.0047,0.0062,8,True
000000001000179474,-0.0324,0.0062,0.0006,0.0005,11,True
000000001000015989,-0.0417,0.0045,-0.0034,0.0007,20,True
000000001000016016,-0.0336,0.0057,0.0007,0.0006,19,True
000000001000123138,-0.0314,0.006,-0.0029,0.001,15,True
000000001000015963,-0.0322,0.0075,-0.0011,0.0008,16,True
000000001000024325,-0.0527,0.0108,-0.0081,0.0022,10,True
000000001000046720,-0.0358,0.0112,-0.0046,0.0019,12,True
000000001000092561,-0.0493,0.0085,-0.0048,0.0021,7,True
000000001000008130,-0.0293,0.0047,-0.0014,0.0007,17,True
000000001000008146,-0.0458,0.0074,-0.0006,0.001,14,True
000000001000024941,-0.0546,0.0084,-0.0005,0.0013,13,True
000000001000022708,-0.0823,0.0122,-0.0169,0.0046,11,True
000000001000050786,-0.037,0.0112,-0.0003,0.0024,16,True
000000001000064494,-0.0535,0.0136,-0.0063,0.0021,8,True
000000001000164526,-0.0389,0.0067,-0.0012,0.0008,19,True
000000001000016131,-0.0446,0.0051,-0.0015,0.0005,20,True
000000001000022542,-0.0755,0.0202,-0.0178,0.0056,10,True
000000001000111123,-0.0396,0.0084,-0.0025,0.0042,14,True
