,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000050787,-0.0284,0.0087,-0.0025,0.0017,19,True
000000001000008470,-0.0366,0.0073,-0.0018,0.0007,14,True
000000001000176716,-0.0258,0.0047,0.0001,0.0004,19,True
000000001000022615,-0.0625,0.0131,-0.0123,0.0052,10,True
000000001000032520,-0.0429,0.0046,0.0023,0.0024,12,True
000000001000039244,-0.0799,0.0245,-0.0055,0.0049,6,True
000000001000053564,-0.0343,0.0079,-0.0019,0.002,14,True
000000001000091265,-0.0303,0.0066,-0.0023,0.0017,8,True
000000001000199454,-0.0282,0.0063,0.0006,0.0037,9,True
000000001000008474,-0.0312,0.01,-0.0018,0.0007,10,True
000000001000008491,-0.0337,0.0059,-0.0004,0.0004,17,True
000000001000024943,-0.0497,0.0121,0.0003,0.0011,10,True
000000001000110285,-0.0307,0.0101,0.0002,0.001,10,True
000000001000184194,-0.0321,0.009,-0.0004,0.0006,16,True
000000001000025074,-0.0398,0.0095,-0.0041,0.003,7,True
000000001000008124,-0.0292,0.0068,0.0001,0.0007,8,True
000000001000005773,-0.0446,0.0139,-0.0036,0.0031,17,True
000000001000095636,-0.038,0.009,-0.0034,0.0031,12,True
000000001000008796,-0.0328,0.0103,0.0004,0.0012,15,True
000000001000012552,-0.0343,0.007,-0.0007,0.0006,18,True
000000001000050850,-0.0358,0.0062,-0.0001,0.0007,15,True
000000001000124809,-0.0277,0.0062,-0.0047,0.0026,15,True
000000001000110396,-0.0347,0.0039,0.0012,0.0006,16,True
000000001000129416,-0.0429,0.0034,0.0015,0.001,15,True
000000001000007432,-0.0459,0.0064,0.0001,0.0005,21,True
000000001000015990,-0.037,0.0045,-0.003,0.0006,19,True
000000001000136936,-0.0373,0.0084,0.0017,0.0008,13,True
000000001000188832,-0.0274,0.0038,0.0012,0.0004,16,True
000000001000016002,-0.0355,0.0049,-0.0023,0.0007,19,True
000000001000006082,-0.0414,0.0095,-0.0032,0.0015,14,True
000000001000117175,-0.1015,0.0303,-0.0043,0.0023,11,True
000000001000128007,-0.0323,0.0076,0.0016,0.0006,11,True
000000001000007776,-0.0318,0.0045,-0.0,0.0002,15,True
000000001000092348,-0.0528,0.0131,-0.0061,0.0025,13,True
000000001000110390,-0.0309,0.0079,0.0002,0.0005,10,True
000000001000176729,-0.0394,0.011,-0.0021,0.0011,16,True
000000001000008142,-0.0319,0.0056,0.0004,0.0007,15,True
000000001000145703,-0.2521,0.066,-0.0112,0.0183,6,True
000000001000153549,-0.0271,0.0052,0.0012,0.0008,15,True
000000001000016109,-0.0279,0.0055,-0.0002,0.0005,19,True
000000001000169678,-0.0392,0.0112,-0.0019,0.0021,15,True
000000001000179467,-0.0496,0.0104,-0.0005,0.0005,14,True
000000001000188833,-0.04,0.0092,0.0023,0.002,14,True
000000001000164684,-0.0343,0.0092,-0.0,0.0007,13,True
000000001000022603,-0.0762,0.0244,-0.0092,0.0063,6,True
000000001000103982,-0.031,0.0101,-0.0024,0.0011,15,True
000000001000046717,-0.0409,0.0131,-0.0003,0.0015,12,True
000000001000134340,-0.0565,0.0079,-0.0025,0.0018,20,True
000000001000183811,-0.0375,0.0065,-0.0014,0.0005,18,True
000000001000138395,-0.0276,0.0078,-0.004,0.001,9,True
000000001000024281,-0.0576,0.0166,-0.0061,0.0037,8,True
000000001000027340,-0.0599,0.0151,-0.0039,0.0017,13,True
000000001000024683,-0.0447,0.0085,-0.0005,0.0011,12,True
000000001000092551,-0.0343,0.0101,-0.0042,0.0018,10,True
000000001000117123,-0.0368,0.0044,0.0013,0.0007,12,True
000000001000113629,-0.0295,0.008,0.004,0.0031,9,True
000000001000117157,-0.0255,0.0056,-0.0007,0.0005,17,True
000000001000124029,-0.0276,0.0052,-0.0006,0.0004,17,True
000000001000153542,-0.0415,0.005,0.001,0.0006,14,True
000000001000188542,-0.0703,0.0234,0.0036,0.002,14,True
000000001000114113,-0.033,0.007,-0.0001,0.0006,14,True
000000001000166038,-0.0413,0.0094,-0.0081,0.003,8,True
000000001000135008,-0.0266,0.0036,-0.0011,0.0004,19,True
000000001000176717,-0.0333,0.005,-0.0006,0.0006,17,True
000000001000182085,-0.0468,0.0078,0.002,0.0008,12,True
000000001000021941,-0.0323,0.0035,-0.0004,0.0004,17,True
000000001000080300,-0.0326,0.0054,-0.0021,0.0006,11,True
000000001000084097,-0.0437,0.0116,-0.002,0.0017,15,True
000000001000123535,-0.043,0.0077,0.0004,0.0003,17,True
000000001000008841,-0.0297,0.0041,-0.0002,0.0003,17,True
000000001000050799,-0.0324,0.0091,-0.0003,0.0006,7,True
