,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000021922,-0.0188,0.0034,-0.0041,0.0009,16,True
000000001000126849,-0.0089,0.0029,-0.0003,0.0003,13,True
000000001000116614,-0.0141,0.003,-0.0025,0.0003,14,True
000000001000174312,-0.0126,0.0031,0.0006,0.0002,16,True
000000001000027423,-0.0148,0.0033,-0.0015,0.0004,13,True
000000001000191237,-0.0128,0.0034,0.0005,0.0002,12,True
000000001000054183,-0.0123,0.0025,-0.0026,0.0008,15,True
000000001000173830,-0.0192,0.0053,0.0004,0.0011,14,True
000000001000007079,-0.0183,0.0038,-0.0013,0.0006,16,True
000000001000064530,-0.019,0.0038,-0.0006,0.0004,11,True
000000001000092325,-0.0134,0.0044,-0.0038,0.0013,14,True
000000001000012569,-0.0135,0.0041,0.0005,0.0002,15,True
000000001000054980,-0.0194,0.0044,0.0003,0.0001,12,True
000000001000103647,-0.0156,0.0041,-0.0007,0.0004,14,True
000000001000012836,-0.0165,0.0045,-0.0036,0.0018,16,True
000000001000051675,-0.0179,0.0036,0.0004,0.0002,13,True
000000001000071068,-0.0109,0.0032,-0.0016,0.0008,11,True
000000001000008748,-0.0166,0.0049,0.0,0.0002,16,True
000000001000073170,-0.0201,0.0051,-0.0006,0.0004,12,True
000000001000012484,-0.0198,0.0032,-0.0005,0.0004,10,True
000000001000016048,-0.0175,0.0034,-0.0003,0.0004,15,True
000000001000092353,-0.0107,0.0024,-0.0001,0.0006,14,True
000000001000110022,-0.0197,0.0028,-0.0002,0.0005,17,True
000000001000124055,-0.0161,0.0026,0.0001,0.0003,15,True
000000001000054797,-0.0143,0.0043,-0.0001,0.0003,14,True
000000001000064533,-0.0167,0.0037,-0.0016,0.0006,15,True
000000001000123701,-0.0141,0.0034,-0.0002,0.0002,9,True
000000001000126908,-0.0131,0.004,0.0002,0.0002,13,True
000000001000015609,-0.0135,0.0039,-0.0015,0.0004,17,True
000000001000016121,-0.0201,0.005,-0.0033,0.0008,10,True
000000001000119833,-0.013,0.0036,-0.0016,0.0004,11,True
000000001000007385,-0.0154,0.0027,-0.0013,0.0006,19,True
000000001000007591,-0.0175,0.0033,-0.0036,0.0004,16,True
000000001000054182,-0.0128,0.0029,-0.0023,0.0007,18,True
000000001000057522,-0.0168,0.0035,-0.0036,0.0006,16,True
000000001000008050,-0.0179,0.004,-0.0017,0.0004,11,True
000000001000117698,-0.0157,0.0041,-0.0001,0.0004,16,True
000000001000037682,-0.0156,0.0048,-0.0017,0.0004,16,True
000000001000039125,-0.0182,0.0026,0.0002,0.0002,15,True
000000001000117189,-0.0193,0.0049,-0.0001,0.0003,17,True
000000001000007105,-0.013,0.0032,0.0001,0.0001,15,True
000000001000016061,-0.0148,0.0031,-0.0001,0.0005,13,True
000000001000022035,-0.0161,0.0041,-0.0015,0.0007,14,True
000000001000015658,-0.0183,0.0049,-0.0016,0.0004,19,True
000000001000123519,-0.0163,0.0041,-0.0015,0.0004,13,True
000000001000008815,-0.015,0.0048,-0.0033,0.001,13,True
000000001000119627,-0.0125,0.0023,-0.0002,0.0003,11,True
000000001000012445,-0.0137,0.0041,0.0002,0.0001,14,True
000000001000012645,-0.0163,0.0027,0.0003,0.0003,14,True
000000001000012758,-0.0172,0.0047,-0.0002,0.0002,16,True
000000001000183892,-0.0139,0.0027,-0.0013,0.0006,18,True
000000001000012822,-0.0179,0.0044,0.0004,0.0003,16,True
000000001000008729,-0.017,0.0056,-0.0028,0.0009,11,True
000000001000064654,-0.0179,0.0043,-0.001,0.001,14,True
000000001000113344,-0.0192,0.0059,0.0011,0.0011,14,True
000000001000128954,-0.014,0.0041,-0.0014,0.0007,12,True
000000001000052321,-0.0174,0.0039,-0.0004,0.0004,12,True
000000001000138993,-0.009,0.0024,-0.0015,0.0004,17,True
000000001000015607,-0.01,0.0031,-0.0003,0.0003,16,True
000000001000123651,-0.0134,0.004,-0.0014,0.0004,12,True
000000001000027397,-0.0183,0.0041,-0.0007,0.0005,14,True
000000001000119744,-0.02,0.0053,-0.003,0.0008,12,True
000000001000012644,-0.0132,0.0038,0.0003,0.0004,12,True
000000001000007034,-0.0118,0.0032,-0.002,0.0008,13,True
000000001000076800,-0.02,0.0059,-0.0056,0.0015,10,True
000000001000120238,-0.0165,0.0032,-0.0006,0.0003,15,True
000000001000007076,-0.0182,0.0039,-0.0015,0.0007,15,True
000000001000047976,-0.0199,0.005,-0.0037,0.0009,16,True
000000001000022051,-0.0095,0.0026,-0.0018,0.0003,15,True
000000001000126041,-0.0069,0.0022,-0.0001,0.0002,12,True
000000001000039171,-0.0192,0.005,-0.0007,0.0004,17,True
000000001000092055,-0.0198,0.0061,-0.0002,0.0004,11,True
000000001000012696,-0.018,0.0045,-0.0007,0.0005,13,True
000000001000126836,-0.0195,0.0035,-0.0006,0.0004,13,True
000000001000008752,-0.0193,0.0061,0.0001,0.0002,15,True
000000001000021921,-0.0197,0.0039,-0.0038,0.001,18,True
000000001000057600,-0.0169,0.0055,-0.001,0.0005,17,True
000000001000008121,-0.0156,0.0034,-0.0025,0.0007,14,True
000000001000046269,-0.0087,0.0022,-0.001,0.0003,18,True
000000001000064511,-0.0195,0.0034,-0.0006,0.0004,11,True
000000001000012802,-0.0165,0.0043,-0.0007,0.0009,14,True
000000001000126892,-0.0139,0.0038,-0.0001,0.0001,15,True
000000001000008775,-0.0129,0.0035,-0.0005,0.0003,13,True
