,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000021979,-0.0192,0.0045,0.0001,0.0004,18,True
000000001000117318,-0.0174,0.0035,-0.0026,0.0007,15,True
000000001000123456,-0.0181,0.0027,-0.0018,0.0005,14,True
000000001000123800,-0.0267,0.0051,0.0003,0.0004,14,True
000000001000149111,-0.023,0.0025,-0.004,0.0006,17,True
000000001000039240,-0.0213,0.007,-0.0024,0.0015,5,True
000000001000133158,-0.0228,0.0053,-0.003,0.0007,14,True
000000001000178563,-0.0275,0.0031,-0.0008,0.0004,13,True
000000001000121915,-0.0179,0.0054,-0.0023,0.0008,12,True
000000001000123591,-0.0171,0.0034,-0.0032,0.0006,12,True
000000001000150715,-0.028,0.0039,-0.0003,0.0003,11,True
000000001000007429,-0.0217,0.0066,-0.0009,0.0007,21,True
000000001000064524,-0.0183,0.0037,-0.0015,0.0004,18,True
000000001000125108,-0.0195,0.0055,-0.0025,0.0007,18,True
000000001000052300,-0.0274,0.0089,-0.0035,0.001,15,True
000000001000064337,-0.024,0.0047,-0.0007,0.0004,19,True
000000001000157014,-0.0229,0.0031,0.0012,0.0008,15,True
000000001000008135,-0.0278,0.009,-0.001,0.0011,14,True
000000001000047976,-0.022,0.0029,-0.0007,0.0003,17,True
000000001000054423,-0.026,0.0045,-0.0005,0.0006,16,True
000000001000110001,-0.0274,0.0065,-0.0031,0.0023,17,True
000000001000125839,-0.0205,0.0046,-0.0,0.0004,12,True
000000001000008069,-0.0225,0.0036,-0.0021,0.0005,17,True
000000001000168554,-0.023,0.0068,0.0001,0.0001,10,True
000000001000176743,-0.0204,0.0045,-0.0021,0.0006,18,True
000000001000192637,-0.0263,0.0041,-0.0014,0.0008,15,True
000000001000008072,-0.0245,0.0034,-0.0029,0.0008,15,True
000000001000080314,-0.0192,0.0046,-0.0024,0.0006,17,True
000000001000164648,-0.0201,0.0032,-0.0005,0.0002,17,True
000000001000063626,-0.0171,0.0035,-0.0017,0.0006,18,True
000000001000123291,-0.0205,0.0035,-0.0014,0.0003,18,True
000000001000008580,-0.0212,0.0049,-0.0,0.0002,17,True
000000001000064336,-0.0197,0.0036,-0.0023,0.0006,17,True
000000001000176198,-0.0179,0.0041,-0.0005,0.0004,14,True
000000001000015677,-0.0255,0.0046,0.001,0.0004,19,True
000000001000110349,-0.0252,0.0036,0.0004,0.0004,9,True
000000001000119209,-0.0211,0.0049,0.0002,0.0002,17,True
000000001000153541,-0.0235,0.0052,0.0002,0.0006,12,True
000000001000126836,-0.018,0.0028,-0.0007,0.0003,16,True
000000001000008868,-0.0192,0.0046,0.0003,0.0002,15,True
000000001000063421,-0.0258,0.0056,-0.0037,0.001,12,True
