,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000005727,-0.046,0.0073,0.0003,0.0007,15,True
000000001000008470,-0.0643,0.0105,-0.0019,0.001,14,True
000000001000091265,-0.0553,0.0092,-0.0029,0.0028,8,True
000000001000008474,-0.0433,0.0123,-0.0014,0.001,10,True
000000001000008491,-0.0385,0.0094,-0.0012,0.0008,16,True
000000001000024943,-0.0633,0.019,-0.0081,0.0091,10,True
000000001000016014,-0.0409,0.0076,-0.0011,0.0006,18,True
000000001000008124,-0.0394,0.0086,-0.0047,0.0023,6,True
000000001000012552,-0.0416,0.0084,-0.0014,0.0007,15,True
000000001000056199,-0.0501,0.0136,0.0022,0.0014,7,True
000000001000129416,-0.0461,0.0039,0.0011,0.001,12,True
000000001000007432,-0.0589,0.0094,-0.0003,0.001,20,True
000000001000015990,-0.0488,0.0072,-0.0049,0.0009,17,True
000000001000024310,-0.1302,0.0221,-0.0114,0.0045,10,True
000000001000008142,-0.0465,0.0077,0.0004,0.0012,11,True
000000001000016109,-0.0451,0.0076,-0.0011,0.0007,18,True
000000001000024323,-0.0666,0.02,-0.0004,0.0024,12,True
000000001000134340,-0.0614,0.0073,-0.0039,0.002,18,True
000000001000176685,-0.0448,0.0108,-0.0069,0.0017,12,True
000000001000024281,-0.1024,0.0275,-0.0111,0.0076,8,True
000000001000024683,-0.0776,0.0132,-0.0074,0.0037,12,True
000000001000092551,-0.0963,0.0173,-0.0087,0.0035,10,True
000000001000153542,-0.0418,0.0063,0.0012,0.0007,13,True
000000001000114113,-0.0439,0.0109,-0.0001,0.001,13,True
000000001000166038,-0.0565,0.0104,-0.0113,0.0035,8,True
000000001000084097,-0.0447,0.0136,0.0017,0.0016,14,True
000000001000092141,-0.0376,0.0078,0.0006,0.0014,9,True
000000001000008841,-0.0439,0.0065,-0.0004,0.0008,12,True
000000001000112681,-0.0573,0.0105,0.0003,0.0009,17,True
000000001000024333,-0.0659,0.0179,-0.01,0.0043,11,True
000000001000112266,-0.0791,0.0132,-0.0108,0.0084,13,True
000000001000007449,-0.0545,0.0076,-0.0007,0.0007,16,True
000000001000091288,-0.0486,0.016,-0.0007,0.0032,4,True
000000001000118440,-0.0845,0.0186,-0.026,0.004,10,True
000000001000016027,-0.0533,0.0086,-0.0029,0.0009,15,True
000000001000123390,-0.0391,0.0063,-0.0007,0.0009,14,True
000000001000024948,-0.0821,0.0144,-0.008,0.005,9,True
000000001000064492,-0.0749,0.0203,0.0016,0.0019,10,True
000000001000175647,-0.1021,0.0143,-0.0249,0.0058,11,True
000000001000092579,-0.0736,0.0143,-0.0093,0.0037,9,True
000000001000123214,-0.0571,0.0084,-0.0016,0.001,15,True
000000001000153540,-0.0381,0.0065,0.0012,0.0009,15,True
000000001000133282,-0.0841,0.021,0.0069,0.0079,11,True
000000001000007435,-0.0447,0.0067,-0.0022,0.0009,19,True
000000001000050849,-0.0385,0.0089,0.0001,0.0008,15,True
000000001000110284,-0.0418,0.011,-0.0048,0.0021,10,True
000000001000008520,-0.0377,0.0053,-0.0045,0.0013,14,True
000000001000173132,-0.0363,0.0083,-0.0026,0.0054,7,True
000000001000024318,-0.0843,0.0153,-0.0105,0.0046,12,True
000000001000024328,-0.0722,0.0132,-0.0077,0.0037,10,True
000000001000091266,-0.0608,0.0102,-0.0051,0.0031,11,True
000000001000008550,-0.0402,0.006,0.0001,0.0002,15,True
000000001000064697,-0.0401,0.0051,-0.0029,0.0019,7,True
000000001000016010,-0.0576,0.0076,-0.0044,0.0012,18,True
000000001000006092,-0.0572,0.0072,-0.0046,0.0014,16,True
000000001000007431,-0.0672,0.0104,0.0007,0.0012,20,True
000000001000016035,-0.0603,0.0075,-0.0014,0.0012,19,True
000000001000024312,-0.106,0.0257,-0.0133,0.0051,9,True
000000001000015989,-0.0488,0.0064,-0.0044,0.0009,18,True
000000001000016016,-0.0436,0.0086,0.0006,0.0009,16,True
000000001000123138,-0.0468,0.0063,-0.0021,0.0012,14,True
000000001000024325,-0.0648,0.0184,-0.0101,0.0044,10,True
000000001000092561,-0.063,0.0119,-0.005,0.0037,7,True
000000001000008146,-0.0505,0.0098,-0.0038,0.0025,11,True
000000001000024941,-0.0722,0.0123,-0.0092,0.0046,13,True
000000001000022708,-0.1061,0.015,-0.0245,0.0058,11,True
000000001000016131,-0.0514,0.0069,-0.0017,0.0006,18,True
000000001000022392,-0.0375,0.004,-0.0043,0.0011,17,True
000000001000112303,-0.0707,0.0176,-0.011,0.01,10,True
000000001000167293,-0.0381,0.0089,0.0006,0.001,11,True
000000001000008518,-0.0418,0.0045,-0.0048,0.0012,18,True
000000001000015943,-0.0572,0.0096,-0.0105,0.0026,13,True
000000001000012550,-0.0648,0.0175,-0.0033,0.0032,10,True
000000001000016101,-0.0461,0.0062,-0.0018,0.0008,18,True
000000001000176706,-0.041,0.0081,-0.001,0.0008,16,True
000000001000016129,-0.0444,0.0063,-0.003,0.0007,19,True
000000001000022604,-0.0864,0.0194,-0.0227,0.0055,10,True
000000001000024313,-0.074,0.0162,-0.0093,0.0038,12,True
000000001000152739,-0.0412,0.0064,0.0003,0.0002,16,True
000000001000173700,-0.0512,0.0095,-0.0006,0.001,9,True
000000001000153557,-0.0444,0.0066,0.0008,0.0009,15,True
000000001000006102,-0.0827,0.0162,-0.0054,0.0028,12,True
000000001000133273,-0.0556,0.0128,0.0042,0.0015,10,True
000000001000092322,-0.0489,0.009,-0.0009,0.0011,17,True
000000001000175682,-0.0831,0.0199,-0.0249,0.0054,10,True
000000001000006087,-0.0617,0.0079,-0.0042,0.0013,15,True
000000001000007448,-0.0597,0.0081,-0.0064,0.0014,15,True
000000001000080483,-0.2494,0.0215,-0.0359,0.0172,1,True
000000001000183808,-0.0893,0.0181,0.001,0.0022,12,True
000000001000091264,-0.0661,0.0119,-0.0076,0.0031,11,True
000000001000179472,-0.0536,0.0095,0.0009,0.0009,14,True
000000001000153364,-0.039,0.0056,0.0003,0.0002,16,True
000000001000024887,-0.0661,0.012,-0.0094,0.0034,11,True
000000001000027400,-0.076,0.0158,0.0001,0.0018,16,True
000000001000110116,-0.0378,0.005,0.0002,0.0018,12,True
000000001000112670,-0.0358,0.0055,-0.0012,0.0007,20,True
000000001000009867,-0.0491,0.0125,-0.0003,0.0008,8,True
000000001000123330,-0.0393,0.0106,-0.0035,0.0013,16,True
000000001000011438,-0.0359,0.0107,-0.0002,0.0007,11,True
000000001000176707,-0.0441,0.0069,-0.0003,0.0007,16,True
000000001000012766,-0.0604,0.0093,0.0006,0.001,16,True
000000001000024473,-0.0762,0.0153,-0.0046,0.0055,7,True
000000001000024945,-0.1493,0.0281,-0.0149,0.0075,8,True
000000001000009278,-0.0496,0.012,-0.0005,0.0007,10,True
000000001000022573,-0.1041,0.0122,-0.0251,0.0048,14,True
000000001000110348,-0.0394,0.0104,0.0115,0.0063,14,True
000000001000110287,-0.0417,0.0103,-0.0039,0.002,10,True
000000001000091298,-0.0858,0.0149,-0.0072,0.0038,12,True
000000001000118291,-0.0391,0.0061,-0.0045,0.0016,15,True
000000001000137901,-0.0391,0.0081,0.0,0.0002,11,True
000000001000012770,-0.0371,0.0056,0.0001,0.0003,20,True
000000001000096497,-0.0558,0.0151,-0.0093,0.0021,9,True
000000001000118226,-0.0423,0.0081,0.0002,0.0002,5,True
000000001000099701,-0.0614,0.0114,-0.0091,0.0035,15,True
000000001000007215,-0.0423,0.0088,-0.0001,0.0011,19,True
000000001000091287,-0.0747,0.0123,-0.0078,0.0029,10,True
000000001000008492,-0.0405,0.0096,-0.0002,0.0009,13,True
000000001000024947,-0.0576,0.0126,-0.0063,0.0029,11,True
000000001000080460,-0.0457,0.0117,0.0,0.0,1,True
000000001000110065,-0.055,0.0077,0.0024,0.0013,17,True
