,item_code,avg_conv_rate,last_price,last_date,avg_unique_views,Sales_PE,Sales_PE_err,del_week,del_week_err,intercept,intercept_err,pc2,item_skey
116,000000001000022411,0.006653526031623602,83.99,2021-02-25,211.6734693877551,-1.9705,0.5568,-0.9132,0.4191,12.4604,3.6131,40.030,112186534043649
117,000000001000024310,0.049290750119369724,99.99,2020-12-26,43.78151260504202,-3.3915,0.5772,-3.2935,1.1051,11.6564,4.2057,55.469,82894169698233
118,000000001000119757,0.00384897823261073,529.99,2021-02-25,289.8604651162791,0.8606,0.123,-0.2362,0.1929,9.9862,2.3373,328.430,260759150426570
119,000000001000123763,0.004815004376367615,214.99,2021-02-25,105.46153846153847,2.4446,0.3373,0.8622,0.3308,8.1562,2.2542,43.430,228313132843940
120,000000001000136936,0.023744016759776537,94.99,2021-02-25,94.21052631578948,-2.4321,0.4287,-2.6202,1.1576,15.8884,3.1748,55.670,35055339711515
121,000000001000005795,0.008881498104735054,69.99,2020-12-22,137.4563492063492,1.4225,0.4013,0.3424,0.313,10.7297,4.2224,29.390,72317381267478
122,000000001000016002,0.007885719956498097,124.99,2021-02-19,104.95634920634922,-23.1862,4.065,-23.0524,4.1164,91.5669,14.5317,57.820,38000748078213
123,000000001000084378,0.0020506612831167966,1499.99,2021-02-25,29.826541491480516,0.4814,0.055,-0.352,0.116,5.2097,2.1063,759.049,233144756939722
124,000000001000123326,0.0023794114693205604,679.99,2021-02-25,84.13095238095238,0.7623,0.2254,1.2379,0.387,3.595,1.2865,413.490,46498735800338
125,000000001000132091,0.019687850300437872,94.99,2021-02-25,37.243589743589745,1.8459,0.3135,0.2396,1.1587,16.3712,3.0712,51.479,1687354230478
126,000000001000143697,0.004944913476920759,899.99,2021-02-14,27.972619047619048,0.7405,0.0932,0.2427,0.1422,4.9114,2.3347,549.320,203290327934178
127,000000001000184202,0.007637343337737007,319.99,2021-02-07,110.84920634920636,-0.346,0.0823,-0.8557,0.2844,4.6849,1.7586,153.960,278159979410953
128,000000001000201172,0.02253624878191701,199.99,2021-02-25,26.81858974358974,-1.8846,0.599,-2.3465,1.2224,31.8589,8.841,121.069,162756843488764
129,000000001000006082,0.015971515970515972,104.99,2021-02-25,62.61538461538461,2.6214,0.2423,0.3524,0.2777,19.018,3.4538,46.780,187990528223809
130,000000001000007999,0.004103595227816942,1099.99,2021-02-25,53.071096746390864,2.3033,0.2562,0.9549,0.1651,27.4346,2.275,92.670,279867893606798
131,000000001000012484,0.0022608415083881887,499.99,2021-01-30,239.80809022582085,-0.9977,0.1102,0.1069,0.1055,22.5534,1.8393,289.870,34405827809034
132,000000001000016142,0.010593783628736806,269.99,2021-02-25,116.15737514518003,2.5091,0.3571,2.425,0.3699,11.8811,1.4828,109.560,2875774016995
133,000000001000025087,0.016447777859821336,419.99,2021-02-25,37.120535714285715,-3.2564,0.6252,-0.4386,1.0144,12.9077,3.936,235.509,232973103503653
134,000000001000027311,0.006800605979268974,499.99,2021-02-10,49.311694288826644,-0.5383,0.1574,-0.4772,0.1596,14.0538,3.1734,292.790,428471031281
135,000000001000092578,0.006383713572820204,99.99,2021-01-14,187.90178571428572,-3.2362,0.5472,-2.5097,0.5574,12.9936,3.9329,56.680,138912347055899
136,000000001000110022,0.008550427830254649,169.99,2021-02-22,476.71783625730995,-3.7093,0.2486,-4.1069,0.3666,10.5089,1.1402,56.009,170043872779977
137,000000001000117280,0.010361547036883547,159.99,2021-02-25,74.24615384615385,1.7845,0.4226,2.6941,0.3769,8.4343,1.4822,67.370,175131193104788
138,000000001000129691,0.007230207313544885,214.99,2021-01-10,158.3466117216117,1.5148,0.1744,1.6192,0.1659,12.4723,1.4595,140.680,48950551112240
139,000000001000150187,0.004324452045594463,259.99,2021-02-25,66.21428571428571,0.9905,0.1135,0.1553,0.1506,14.2207,2.2152,169.910,222761029785348
140,000000001000168548,0.0037016318216033088,849.99,2021-02-25,209.0901098901099,-0.936,0.1571,0.0782,0.1291,13.1684,2.8235,308.850,256794254390188
141,000000001000183866,0.004993486287278627,249.99,2021-02-14,116.05063669311392,0.5152,0.1531,-0.0479,0.0945,5.9741,1.7421,96.480,36857727115981
142,000000001000209812,0.01676077653631285,279.99,2021-02-22,59.666666666666664,-0.4588,0.0875,0.863,0.1005,12.9487,1.5578,118.819,127929005415805
143,000000001000024944,0.022472253280954972,94.99,2021-02-25,22.12142857142857,-4.0388,0.9973,-2.892,2.5651,11.0365,8.2192,50.509,259722833592589
144,000000001000052644,0.006607580187852685,264.99,2021-01-26,47.402040816326526,0.5437,0.1439,1.2592,0.2086,8.2832,1.2032,167.289,281154736079217
145,000000001000124055,0.005300015897047691,299.99,2020-08-31,96.07272727272728,1.0788,0.1978,0.5879,0.1913,8.0145,1.2446,130.919,108305906918042
146,000000001000174104,0.018182818181818182,79.99,2021-02-25,134.75,0.9458,0.2668,1.2122,0.2653,14.4621,2.2306,49.810,172434730983905
147,000000001000186229,0.004781302272044841,299.99,2021-02-25,44.50078616352201,1.0851,0.1771,0.2085,0.1729,14.2573,2.223,119.239,128892152043482
148,000000001000201168,0.0016278980477223428,269.99,2021-01-24,121.28472222222223,-3.9397,0.8621,-3.1338,0.723,31.5838,7.6244,122.599,170402164611526
149,000000001000008029,0.014764779527559054,214.99,2021-02-25,78.15384615384616,-4.2581,1.0438,-3.4611,0.7795,21.4569,4.4096,83.239,38894203764772
150,000000001000008540,0.021224234188840937,119.99,2021-02-25,31.794903926482874,-1.8562,0.3859,0.4016,0.2344,16.4735,1.5892,30.059,33337140820305
151,000000001000008776,0.004099812197339814,629.99,2021-02-25,348.86805555555554,-0.5381,0.1599,-0.9324,0.1681,7.1231,2.0666,296.680,82137393023375
152,000000001000015706,0.004808692307692308,279.99,2021-02-25,104.0,2.9602,0.5139,-1.0432,0.2644,24.8413,3.9205,160.759,145360671046023
153,000000001000157255,0.012116757805412978,139.99,2021-02-20,129.53508771929825,-1.959,0.5969,1.4854,0.4666,27.44,3.2732,40.700,222503203663012
154,000000001000208900,0.02021007171727138,104.99,2021-02-25,86.83531746031746,-1.5353,0.2953,-1.5347,0.2407,11.1132,1.7062,51.299,163817869712448
155,000000001000047992,0.0024420089503661515,144.99,2021-02-23,111.72727272727273,1.4938,0.266,2.0985,0.5893,11.6288,2.072,60.670,117678961274856
